"","Aeschylus","DiodSic","Herodotus","Hesiod","IlHomer","Lysias","OdHomer","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Sophocles",1,0,0,0,0,0,0,0,0,16,0,0,1
"Thucydides",0,1,2,0,0,0,0,0,0,0,11,2,5
"Xenophon",0,0,1,0,0,1,0,0,0,0,1,6,3
"-SUM-",1,1,5,0,4,1,0,0,2,0,2,2,18
"Aeschylus",17,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,10,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,16,0,0,1,0,0,0,0,1,0,2
"Hesiod",0,0,0,14,2,0,0,0,0,0,0,0,2
"IlHomer",0,0,0,0,19,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,11,0,0,0,0,3,0,3
"OdHomer",0,0,0,0,0,0,15,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,12,0,0,1,0,1
"Polybius",0,1,0,0,0,0,0,0,12,0,0,0,1
"Sophocles",0,0,0,0,0,0,0,0,0,10,0,0,0
"Thucydides",0,0,0,0,0,0,0,1,0,0,11,0,1
"Xenophon",0,1,3,0,0,0,0,0,0,0,3,7,7
"-SUM-",0,2,3,0,2,1,0,1,1,0,8,0,18
"Aeschylus",14,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,18,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,10,0,0,1,0,0,0,0,1,1,3
"Hesiod",0,0,0,9,2,0,0,0,0,0,0,0,2
"IlHomer",0,0,0,0,12,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,8,0,0,0,0,1,1,2
"OdHomer",0,0,0,0,1,0,12,0,0,0,0,0,1
"Plutarch",0,0,1,0,0,0,0,18,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,13,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,16,0,0,0
"Thucydides",0,1,1,0,0,0,0,0,0,0,16,0,2
"Xenophon",0,0,5,0,0,2,0,1,0,0,0,7,8
"-SUM-",0,1,7,0,3,3,0,1,0,0,2,2,19
"Aeschylus",12,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,16,0,0,0,0,0,0,2,0,0,0,2
"Herodotus",0,0,15,0,0,1,0,0,0,0,1,0,2
"Hesiod",0,0,0,9,4,0,2,0,0,0,0,0,6
"IlHomer",0,0,0,0,11,0,0,0,0,0,0,0,0
"Lysias",0,0,3,0,0,6,0,0,0,0,0,0,3
"OdHomer",0,0,0,0,0,0,17,0,0,0,0,0,0
"Plutarch",0,1,1,0,0,0,0,14,0,0,0,1,3
"Polybius",0,0,0,0,0,0,0,0,10,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,13,0,0,0
"Thucydides",0,0,5,0,0,0,0,0,0,0,12,2,7
"Xenophon",0,0,1,0,0,2,0,1,0,0,3,7,7
"-SUM-",0,1,10,0,4,3,2,1,2,0,4,3,30
"Aeschylus",13,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,10,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,12,0,0,0,0,0,0,0,1,1,2
"Hesiod",0,0,0,12,1,0,0,0,0,0,0,0,1
"IlHomer",0,0,0,0,25,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,12,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,22,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,11,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,18,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,11,0,0,0
"Thucydides",0,1,1,0,0,1,0,0,0,0,8,1,4
"Xenophon",0,0,1,0,0,0,0,0,0,0,2,7,3
"-SUM-",0,1,2,0,1,1,0,0,1,0,3,2,11
"Aeschylus",10,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,18,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,14,0,0,0,0,0,0,0,2,0,2
"Hesiod",0,0,0,11,3,0,0,0,0,0,0,0,3
"IlHomer",0,0,0,0,15,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,14,0,0,0,0,0,1,2
"OdHomer",0,0,0,0,0,0,15,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,11,0,0,0,0,0
"Polybius",0,0,0,0,0,0,0,0,13,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,16,0,0,0
"Thucydides",0,1,1,0,0,1,0,1,0,0,12,0,4
"Xenophon",0,1,1,0,0,1,0,0,2,0,2,4,7
"-SUM-",0,2,3,0,3,2,0,1,3,0,4,1,19
"Aeschylus",20,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,12,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,12,0,0,1,0,0,0,0,0,0,1
"Hesiod",0,0,0,9,2,0,0,0,0,0,0,0,2
"IlHomer",0,0,0,0,13,0,0,0,0,0,0,0,0
