"","Aeschylus","Diodorus","Herodotus","Hesiod","IlHomer","Lysias","OdHomer","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"OdHomer",0,0,0,1,2,0,19,0,0,0,0,0,3
"Plutarch",0,1,1,0,0,1,0,14,0,0,0,0,3
"Polybius",0,0,0,0,0,0,0,0,13,0,0,0,0
"Sophocles",1,0,0,0,1,0,0,0,0,18,0,0,2
"Thucydides",0,0,1,0,0,4,0,0,2,0,11,0,7
"Xenophon",0,0,1,0,0,2,0,0,0,0,1,14,4
"-SUM-",2,1,6,1,8,9,1,0,4,2,2,2,38
"Aeschylus",23,0,0,0,0,0,0,0,0,2,0,0,2
"Diodorus",0,12,0,0,0,0,0,0,3,0,0,0,3
"Herodotus",0,0,14,0,0,2,0,0,1,0,2,0,5
"Hesiod",0,0,0,10,4,0,2,0,0,0,0,0,6
"IlHomer",0,0,0,1,18,0,0,0,0,0,0,0,1
"Lysias",0,0,1,0,0,9,0,0,0,0,1,0,2
"OdHomer",0,0,0,0,0,0,11,0,0,0,0,0,0
"Plutarch",0,0,1,0,0,0,0,18,0,0,0,1,2
"Polybius",0,0,0,0,0,0,0,0,16,0,0,0,0
"Sophocles",2,0,0,0,0,0,1,0,0,13,0,0,3
"Thucydides",0,1,1,0,0,0,0,3,1,0,14,2,8
"Xenophon",0,0,1,0,0,1,0,0,1,0,0,13,3
"-SUM-",2,1,4,1,4,3,3,3,6,2,3,3,35
"Aeschylus",18,0,0,0,0,0,0,0,0,1,0,0,1
"Diodorus",0,9,0,0,0,0,0,0,3,0,0,0,3
"Herodotus",0,1,16,0,0,1,0,1,0,0,1,0,4
"Hesiod",0,0,0,8,7,0,2,0,0,0,0,0,9
"IlHomer",0,0,0,0,26,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,13,0,0,0,0,1,2,4
"OdHomer",0,0,0,0,2,0,14,0,0,0,0,0,2
"Plutarch",0,0,0,0,0,0,0,18,0,0,0,0,0
"Polybius",0,0,1,0,0,0,0,0,15,0,0,0,1
"Sophocles",0,0,0,0,0,0,0,0,0,12,0,0,0
"Thucydides",0,0,2,0,0,1,0,4,0,0,10,0,7
"Xenophon",0,1,0,0,0,1,0,2,0,0,4,8,8
"-SUM-",0,2,4,0,9,3,2,7,3,1,6,2,39
"Aeschylus",13,0,0,0,0,0,0,0,0,1,0,0,1
"Diodorus",0,19,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,17,0,0,1,0,0,2,0,1,0,4
"Hesiod",0,0,0,16,12,0,1,0,0,0,0,0,13
"IlHomer",0,0,0,0,16,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,10,0,0,0,0,1,0,1
"OdHomer",0,0,0,0,1,0,14,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,13,1,0,2,0,3
"Polybius",0,0,0,0,0,0,0,1,15,0,0,0,1
"Sophocles",1,0,0,0,0,0,0,0,0,15,0,0,1
"Thucydides",0,0,2,0,0,1,0,0,1,0,10,1,5
"Xenophon",0,0,0,0,0,5,0,0,2,0,3,7,10
"-SUM-",1,0,2,0,13,7,1,1,7,1,7,1,41
"Aeschylus",17,0,0,0,0,0,0,0,0,2,0,0,2
"Diodorus",0,12,0,0,0,0,0,0,3,0,0,0,3
"Herodotus",0,0,15,0,0,1,0,0,0,0,0,0,1
"Hesiod",1,0,0,9,1,0,1,0,0,0,0,0,3
"IlHomer",0,0,0,0,21,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,14,0,0,0,0,1,1,2
"OdHomer",0,0,0,1,0,0,18,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,16,4,0,0,0,4
"Polybius",0,0,0,0,0,0,0,1,19,0,0,0,1
"Sophocles",1,0,0,0,0,0,0,0,0,12,0,0,1
"Thucydides",0,1,1,0,0,0,0,2,0,0,11,2,6
"Xenophon",0,0,1,0,0,2,0,1,1,0,1,12,6
"-SUM-",2,1,2,1,1,3,1,4,8,2,2,3,30
"Aeschylus",15,0,0,0,0,0,0,0,0,1,0,0,1
"Diodorus",0,17,0,0,0,0,0,0,3,0,1,0,4
"Herodotus",0,0,13,0,0,0,0,0,0,0,3,0,3
"Hesiod",0,0,0,12,7,0,3,0,0,1,0,0,11
"IlHomer",0,0,0,0,17,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,10,0,0,1,0,0,1,3
"OdHomer",0,0,0,0,1,0,12,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,18,0,0,1,0,1
"Polybius",0,1,0,0,0,0,0,0,13,0,0,0,1
"Sophocles",1,0,0,0,0,0,0,0,0,19,0,0,1
"Thucydides",0,0,2,0,0,1,0,0,0,0,8,2,5
"Xenophon",0,1,2,0,0,1,0,0,0,0,3,14,7
"-SUM-",1,2,5,0,8,2,3,0,4,2,8,3,38
"Aeschylus",19,0,0,0,0,0,0,0,0,1,0,0,1
"Diodorus",0,18,0,0,0,0,0,1,5,0,0,0,6
"Herodotus",0,1,17,0,0,0,0,0,0,0,0,0,1
"Hesiod",0,0,0,12,3,0,3,0,0,0,0,0,6
"IlHomer",0,0,0,1,15,0,0,0,0,0,0,0,1
"Lysias",0,0,4,0,0,9,0,0,0,0,3,0,7
"OdHomer",0,0,0,0,1,0,16,0,0,0,0,0,1
"Plutarch",0,1,1,0,0,0,0,8,1,0,1,0,4
"Polybius",0,0,1,0,0,0,0,0,23,0,0,0,1
"Sophocles",0,0,0,0,0,0,0,0,0,17,0,0,0
"Thucydides",0,2,1,0,0,1,0,0,0,0,9,0,4
"Xenophon",0,0,0,0,0,1,0,0,1,0,3,6,5
"-SUM-",0,4,7,1,4,2,3,1,7,1,7,0,37
"Aeschylus",18,0,0,0,0,0,0,0,0,3,0,0,3
"Diodorus",0,20,0,0,0,0,0,0,2,0,1,0,3
"Herodotus",0,1,11,0,0,0,0,1,1,0,0,0,3
"Hesiod",0,0,0,8,5,0,2,0,0,0,0,0,7
"IlHomer",0,0,0,0,16,0,1,0,0,0,0,0,1
"Lysias",0,0,1,0,0,9,0,0,0,0,2,0,3
"OdHomer",0,0,0,0,1,0,17,0,0,0,0,0,1
"Plutarch",0,1,0,0,0,0,0,19,3,0,2,0,6
"Polybius",0,0,0,0,0,0,0,0,16,0,0,0,0
"Sophocles",0,0,1,0,1,0,0,0,0,18,0,0,2
"Thucydides",0,0,1,0,0,3,0,0,0,0,9,0,4
"Xenophon",0,1,0,0,0,0,0,0,1,0,2,8,4
"-SUM-",0,3,3,0,7,3,3,1,7,3,7,0,37
"Aeschylus",19,0,0,1,0,0,0,0,0,1,0,0,2
"Diodorus",0,17,0,0,0,1,0,1,1,0,0,0,3
"Herodotus",0,1,17,0,0,0,0,0,0,0,0,1,2
"Hesiod",0,0,0,6,3,0,1,0,0,0,0,0,4
"IlHomer",0,0,0,1,21,0,0,0,0,0,0,0,1
"Lysias",0,0,1,0,0,15,0,0,0,0,1,0,2
"OdHomer",0,0,0,0,1,0,12,0,0,1,0,0,2
"Plutarch",0,1,2,0,0,0,0,14,1,0,0,0,4
"Polybius",0,0,0,0,0,1,0,1,10,0,0,0,2
"Sophocles",0,0,1,0,0,0,0,0,0,16,0,0,1
"Thucydides",0,0,3,0,0,4,0,1,0,0,10,0,8
"Xenophon",0,1,0,0,0,3,0,0,2,0,3,9,9
"-SUM-",0,3,7,2,4,9,1,3,4,2,4,1,40
