"","Aeschylus","DiodSic","Herodotus","Hesiod","IlHomer","Lysias","OdHomer","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Xenophon",0,0,1,0,0,2,0,1,0,0,4,9,8
"-SUM-",1,3,2,0,1,3,1,1,0,0,4,1,17
"Aeschylus",21,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,11,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,12,0,0,1,0,0,0,0,0,1,2
"Hesiod",0,0,0,10,1,0,1,0,0,0,0,0,2
"IlHomer",0,0,0,0,18,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,8,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,17,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,11,0,0,1,1,2
"Polybius",0,0,0,0,0,0,0,0,17,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,12,0,0,0
"Thucydides",0,1,0,0,0,0,0,1,0,0,13,0,2
"Xenophon",0,0,0,0,0,2,0,0,0,0,3,9,5
"-SUM-",0,1,0,0,1,3,1,1,0,0,4,2,13
"Aeschylus",19,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,14,0,0,0,0,0,0,3,0,0,0,3
"Herodotus",0,0,15,0,0,1,0,0,0,0,0,0,1
"Hesiod",2,0,0,10,3,0,1,0,0,0,0,0,6
"IlHomer",0,0,0,0,10,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,9,0,0,0,0,1,1,3
"OdHomer",0,0,0,0,0,0,13,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,11,1,0,1,1,3
"Polybius",0,1,0,0,0,0,0,0,17,0,0,0,1
"Sophocles",0,0,0,0,0,0,0,0,0,16,0,0,0
"Thucydides",0,0,0,0,0,1,0,0,0,0,11,0,1
"Xenophon",0,0,0,0,0,0,0,0,0,0,3,6,3
"-SUM-",2,1,1,0,3,2,1,0,4,0,5,2,21
"Aeschylus",14,0,0,0,0,0,0,0,0,3,0,0,3
"DiodSic",0,15,0,0,0,0,0,0,0,0,0,1,1
"Herodotus",0,0,20,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,5,1,0,1,0,0,0,0,0,2
"IlHomer",0,0,0,1,17,0,0,0,0,0,0,0,1
"Lysias",0,0,0,0,0,7,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,16,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,17,0,0,1,0,1
"Polybius",0,0,0,0,0,0,0,1,10,0,0,0,1
"Sophocles",0,0,0,0,0,0,0,0,0,11,0,0,0
"Thucydides",0,0,1,0,0,0,0,0,0,0,12,1,2
"Xenophon",0,1,0,0,0,0,0,0,0,0,2,14,3
"-SUM-",0,1,1,1,1,0,1,1,0,3,3,2,14
"Aeschylus",17,0,0,0,0,0,0,0,0,1,0,0,1
"DiodSic",0,9,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,1,10,0,0,2,0,0,0,0,0,0,3
"Hesiod",0,0,0,10,2,0,0,0,0,0,0,0,2
"IlHomer",0,0,0,0,16,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,10,0,0,0,0,0,0,1
"OdHomer",0,0,0,1,0,0,15,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,10,0,0,0,0,0
"Polybius",0,1,0,0,0,0,0,2,18,0,0,0,3
"Sophocles",0,0,0,0,0,0,0,0,0,19,0,0,0
"Thucydides",0,0,1,0,0,0,0,1,0,0,14,1,3
"Xenophon",0,0,1,0,0,0,0,0,0,0,1,8,2
"-SUM-",0,2,3,1,2,2,0,3,0,1,1,1,16
"Aeschylus",12,0,0,0,0,0,0,0,0,1,0,0,1
"DiodSic",0,16,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,14,0,0,2,0,0,0,0,1,1,4
"Hesiod",1,0,0,9,3,0,1,0,0,0,0,0,5
"IlHomer",0,0,0,0,21,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,9,0,0,0,0,0,0,1
"OdHomer",0,0,0,0,0,0,17,0,0,0,0,0,0
"Plutarch",0,1,0,0,0,0,0,11,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,1,9,0,0,0,1
"Sophocles",0,0,0,0,0,0,0,0,0,14,0,0,0
"Thucydides",0,0,1,0,0,0,0,0,0,0,13,0,1
"Xenophon",0,0,0,0,0,1,0,1,0,0,3,8,5
"-SUM-",1,1,2,0,3,3,1,2,0,1,4,1,19
"Aeschylus",17,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,15,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,9,0,0,0,0,0,0,0,1,0,1
"Hesiod",0,0,0,11,4,0,2,0,0,0,0,0,6
"IlHomer",0,0,0,0,16,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,10,0,0,0,0,0,2,2
"OdHomer",0,0,0,0,3,0,16,0,0,0,0,0,3
"Plutarch",0,0,0,0,0,0,0,15,1,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,11,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,14,0,0,0
"Thucydides",0,1,1,0,0,0,0,0,0,0,10,2,4
"Xenophon",0,0,0,0,0,2,0,0,0,0,1,7,3
"-SUM-",0,1,1,0,7,2,2,0,2,0,2,4,21
"Aeschylus",7,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,15,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,18,0,0,0,0,0,0,0,1,1,2
"Hesiod",0,0,0,10,4,0,1,0,0,0,0,0,5
"IlHomer",0,0,0,0,10,0,0,0,0,0,0,0,0
