author_rate,chunk_rate,chunk_ref,
0.2,0.000692042,Polybius_Book1-3,
0.2,0.000692042,Polybius_Book1-30,
0.2,0.000692042,Polybius_Book1-31,
0.2,0.000692042,Polybius_Book1-32,
0.2,0.000692042,Polybius_Book1-33,
0.2,0.000692042,Polybius_Book1-34,
0.2,0.000692042,Polybius_Book1-35,
0.2,0.000692042,Polybius_Book1-36,
0.2,0.000692042,Polybius_Book1-37,
0.2,0.000692042,Polybius_Book1-38,
0.2,0.000692042,Polybius_Book1-39,
0.2,0.000692042,Polybius_Book1-4,
0.2,0.000692042,Polybius_Book1-40,
0.2,0.000692042,Polybius_Book1-41,
0.2,0.000692042,Polybius_Book1-42,
0.2,0.000692042,Polybius_Book1-43,
0.2,0.000692042,Polybius_Book1-44,
0.2,0.000692042,Polybius_Book1-45,
0.2,0.000692042,Polybius_Book1-46,
0.2,0.000692042,Polybius_Book1-47,
0.2,0.000692042,Polybius_Book1-48,
0.2,0.000692042,Polybius_Book1-49,
0.2,0.000692042,Polybius_Book1-5,
0.2,0.000692042,Polybius_Book1-50,
0.2,0.000692042,Polybius_Book1-51,
0.2,0.000692042,Polybius_Book1-52,
0.2,0.000692042,Polybius_Book1-53,
0.2,0.000692042,Polybius_Book1-54,
0.2,0.000692042,Polybius_Book1-55,
0.2,0.000692042,Polybius_Book1-56,
0.2,0.000692042,Polybius_Book1-57,
0.2,0.000692042,Polybius_Book1-58,
0.2,0.000692042,Polybius_Book1-59,
0.2,0.000692042,Polybius_Book1-6,
0.2,0.000692042,Polybius_Book1-60,
0.2,0.000692042,Polybius_Book1-61,
0.2,0.000692042,Polybius_Book1-62,
0.2,0.000692042,Polybius_Book1-63,
0.2,0.000692042,Polybius_Book1-64,
0.2,0.000692042,Polybius_Book1-65,
0.2,0.000692042,Polybius_Book1-66,
0.2,0.000692042,Polybius_Book1-67,
0.2,0.000692042,Polybius_Book1-68,
0.2,0.000692042,Polybius_Book1-69,
0.2,0.000692042,Polybius_Book1-7,
0.2,0.000692042,Polybius_Book1-70,
0.2,0.000692042,Polybius_Book1-71,
