"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIL","HomerOD","Lysias","Plutarch","Polybius","Sophocles","Thucycides","Xenophon","-SUM-"
"Plutarch",0,4,10,0,0,0,8,30,35,0,3,3,63
"Polybius",1,7,5,0,0,0,2,5,68,0,1,0,21
"Sophocles",24,0,1,2,3,3,2,0,1,67,0,0,36
"Thucycides",0,5,18,0,0,1,7,9,19,1,31,13,73
"Xenophon",0,4,15,0,1,0,22,6,13,0,11,31,72
"-SUM-",42,27,64,8,42,28,45,34,136,20,34,35,515
"Aeschylus",73,0,1,0,1,2,0,0,0,21,0,0,25
"Diodorus",0,42,6,0,0,0,0,4,36,0,2,1,49
"Herodotus",0,5,62,0,0,0,6,5,8,0,6,5,35
"Hesiod",13,0,0,46,10,17,0,0,0,2,0,0,42
"HomerIL",1,0,0,4,90,15,0,0,0,1,0,0,21
"HomerOD",0,0,0,0,23,74,0,0,0,0,0,0,23
"Lysias",0,4,12,0,0,0,46,1,16,0,7,15,55
"Plutarch",0,6,7,0,0,0,3,29,39,0,6,4,65
"Polybius",0,8,6,0,0,0,0,3,77,0,2,2,21
"Sophocles",23,0,0,4,4,2,1,1,0,70,1,0,36
"Thucycides",0,1,15,0,0,1,6,8,13,0,28,8,52
"Xenophon",0,4,16,0,0,0,10,4,12,1,12,29,59
"-SUM-",37,28,63,8,38,37,26,26,124,25,36,35,483
"Aeschylus",72,0,1,1,6,1,0,0,0,14,0,0,23
"Diodorus",0,40,2,0,1,0,2,3,37,0,3,2,50
"Herodotus",2,6,48,0,0,0,1,3,8,1,9,5,35
"Hesiod",5,0,0,52,16,9,0,0,0,5,0,0,35
"HomerIL",0,0,0,4,79,11,0,0,0,1,0,0,16
"HomerOD",2,0,1,2,21,82,0,0,0,0,0,0,26
"Lysias",0,6,13,0,0,0,36,4,16,0,6,12,57
"Plutarch",0,5,12,0,0,0,7,30,33,0,7,3,67
"Polybius",0,4,2,0,0,0,2,3,83,0,4,2,17
"Sophocles",22,0,1,0,4,3,0,0,0,78,0,0,30
"Thucycides",0,3,19,0,0,0,7,8,19,0,36,6,62
"Xenophon",0,3,18,0,0,0,15,3,17,0,12,27,68
"-SUM-",31,27,69,7,48,24,34,24,130,21,41,30,486
"Aeschylus",86,0,0,3,1,3,0,0,0,14,0,0,21
"Diodorus",0,36,8,0,0,0,2,4,39,0,2,3,58
"Herodotus",0,7,54,0,0,0,5,4,8,0,6,7,37
"Hesiod",5,0,2,40,19,11,0,0,0,6,0,0,43
"HomerIL",1,0,0,0,99,13,0,0,0,0,0,0,14
"HomerOD",0,0,0,6,30,79,0,0,0,0,0,0,36
"Lysias",0,1,12,0,0,0,38,4,11,1,2,6,37
"Plutarch",0,6,11,0,0,0,1,33,18,0,6,7,49
"Polybius",0,11,8,0,0,1,2,3,80,0,1,2,28
"Sophocles",22,0,0,2,3,1,2,0,0,64,0,0,30
"Thucycides",0,8,15,0,0,1,5,10,16,0,34,7,62
"Xenophon",0,4,11,0,0,0,17,4,13,0,14,28,63
"-SUM-",28,37,67,11,53,30,34,29,105,21,31,32,478
"Aeschylus",77,0,0,1,2,2,0,0,0,20,0,0,25
"Diodorus",0,33,7,0,0,0,2,3,40,0,1,1,54
"Herodotus",0,3,52,0,0,0,11,3,10,2,6,6,41
"Hesiod",8,0,0,54,15,7,0,0,0,4,0,0,34
"HomerIL",0,0,0,4,92,8,0,0,0,2,0,0,14
"HomerOD",0,0,0,2,21,87,0,0,0,0,0,0,23
"Lysias",0,1,14,0,0,0,39,1,11,0,6,8,41
"Plutarch",2,6,8,0,0,0,2,32,26,0,11,2,57
"Polybius",0,9,4,0,0,0,3,2,77,0,4,3,25
"Sophocles",11,0,1,3,4,1,1,0,1,69,0,0,22
"Thucycides",0,3,17,0,0,0,8,11,16,1,26,14,70
"Xenophon",0,7,18,0,1,0,16,1,12,0,11,39,66
"-SUM-",21,29,69,10,43,18,43,21,116,29,39,34,472
"Aeschylus",66,0,0,4,3,3,0,0,0,15,0,0,25
"Diodorus",0,42,5,0,0,0,0,2,45,0,3,0,55
"Herodotus",0,7,62,0,1,1,7,2,5,2,7,7,39
"Hesiod",7,0,0,54,17,16,0,0,0,6,0,0,46
"HomerIL",0,0,0,4,73,12,0,0,0,0,0,0,16
"HomerOD",2,0,0,1,22,85,0,0,0,2,0,0,27
"Lysias",0,3,7,0,0,1,44,2,11,2,5,8,39
"Plutarch",0,3,8,0,0,0,3,31,26,0,8,4,52
"Polybius",0,6,1,0,0,0,2,5,79,0,3,2,19
