"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIL","HomerOD","Lysias","Plutarch","Polybius","Sophocles","Thucycides","Xenophon","-SUM-"
"HomerOD",0,0,0,1,23,80,0,0,0,1,0,0,25
"Lysias",0,3,11,0,0,0,48,5,9,1,6,4,39
"Plutarch",0,8,12,0,0,0,1,31,27,0,8,3,59
"Polybius",0,8,2,0,1,0,1,4,92,0,6,3,25
"Sophocles",14,0,0,1,2,2,2,0,1,81,0,0,22
"Thucycides",0,4,10,0,1,0,10,12,11,0,23,5,53
"Xenophon",0,4,18,0,0,0,10,6,16,0,8,23,62
"-SUM-",23,32,57,12,50,32,31,37,111,27,39,24,475
"Aeschylus",75,0,0,1,2,2,0,0,0,14,0,0,19
"Diodorus",0,38,1,0,0,1,0,3,36,0,0,2,43
"Herodotus",1,8,56,0,0,1,6,6,8,1,5,7,43
"Hesiod",12,0,1,53,15,8,0,0,0,3,1,0,40
"HomerIL",2,0,0,4,87,9,0,0,0,0,0,0,15
"HomerOD",3,0,1,1,23,76,0,0,0,1,0,0,29
"Lysias",0,1,15,0,0,0,42,3,6,1,7,9,42
"Plutarch",0,5,4,0,0,0,1,31,31,0,6,3,50
"Polybius",0,8,2,0,0,0,2,4,100,0,1,4,21
"Sophocles",13,0,0,0,4,0,0,0,0,71,0,0,17
"Thucycides",0,2,20,0,1,0,9,8,19,1,40,4,64
"Xenophon",0,6,19,0,0,0,17,4,12,0,12,27,70
"-SUM-",31,30,63,6,45,21,35,28,112,21,32,29,453
"Aeschylus",65,0,0,1,3,3,0,0,0,15,0,0,22
"Diodorus",0,41,11,0,1,0,0,4,45,1,1,2,65
"Herodotus",1,2,62,0,1,1,8,6,8,0,13,10,50
"Hesiod",9,0,0,57,19,18,0,1,0,1,0,0,48
"HomerIL",1,0,0,2,69,12,0,0,0,0,0,0,15
"HomerOD",0,0,0,5,17,79,0,0,0,0,0,0,22
"Lysias",0,3,10,0,0,1,48,1,11,0,4,15,45
"Plutarch",0,6,11,0,0,0,1,28,28,1,10,3,60
"Polybius",0,6,2,0,0,0,2,2,82,0,3,3,18
"Sophocles",13,0,0,0,2,1,1,0,1,79,0,0,18
"Thucycides",0,2,12,0,0,0,8,7,19,1,34,8,57
"Xenophon",0,5,16,0,0,0,9,6,15,1,12,21,64
"-SUM-",24,24,62,8,43,36,29,27,127,20,43,41,484
"Aeschylus",83,0,0,2,3,2,0,0,0,22,0,0,29
"Diodorus",1,34,3,0,0,0,0,5,47,1,1,1,59
"Herodotus",3,3,52,0,0,0,5,3,7,0,9,7,37
"Hesiod",3,0,0,41,21,11,0,0,0,5,0,2,42
"HomerIL",0,0,0,2,100,18,0,0,0,0,0,0,20
"HomerOD",0,0,0,1,28,72,0,0,0,0,0,0,29
"Lysias",0,0,16,0,0,0,44,2,12,1,4,5,40
"Plutarch",0,4,13,0,1,0,1,29,30,0,7,2,58
"Polybius",1,2,3,0,0,0,0,2,80,0,2,5,15
"Sophocles",23,0,1,3,1,0,0,0,0,75,1,0,29
"Thucycides",0,2,21,0,0,1,5,7,18,0,36,4,58
"Xenophon",0,5,14,0,0,0,10,5,9,0,14,30,57
"-SUM-",31,16,71,8,54,32,21,24,123,29,38,26,473
"Aeschylus",73,0,1,2,4,1,0,1,0,17,0,0,26
"Diodorus",0,37,4,0,0,0,2,3,42,0,2,3,56
"Herodotus",1,6,48,0,0,0,6,3,13,0,10,4,43
"Hesiod",10,0,0,45,12,19,0,1,0,3,0,0,45
"HomerIL",1,0,0,2,91,9,0,0,0,2,0,0,14
"HomerOD",1,0,0,6,21,76,0,0,0,1,0,0,29
"Lysias",0,1,11,0,0,0,42,2,12,1,7,14,48
"Plutarch",0,6,15,0,0,0,1,28,34,0,7,6,69
"Polybius",0,9,0,0,0,0,1,4,84,0,3,1,18
"Sophocles",25,0,2,3,4,1,0,0,0,53,0,0,35
"Thucycides",0,4,20,0,0,0,12,1,20,1,29,8,66
"Xenophon",0,5,20,0,0,0,21,4,11,0,12,21,73
"-SUM-",38,31,73,13,41,30,43,19,132,25,41,36,522
"Aeschylus",79,0,0,2,3,2,0,0,0,25,0,0,32
"Diodorus",0,47,4,0,0,0,0,6,35,0,2,1,48
"Herodotus",0,6,58,0,0,0,8,4,10,1,9,11,49
"Hesiod",9,0,0,53,15,6,0,1,0,3,0,0,34
"HomerIL",1,0,0,1,67,9,0,0,0,1,0,0,12
"HomerOD",1,0,0,1,31,88,0,0,0,3,0,0,36
"Lysias",0,1,12,0,0,0,42,3,10,0,2,18,46
"Plutarch",0,6,9,0,1,0,4,31,17,0,8,5,50
"Polybius",0,9,3,0,0,0,0,3,79,1,4,2,22
"Sophocles",21,0,0,2,1,1,2,0,0,68,0,0,27
"Thucycides",0,5,15,0,0,0,12,6,13,0,30,10,61
"Xenophon",0,2,9,0,1,0,15,2,16,0,11,34,56
"-SUM-",32,29,52,6,52,18,41,25,101,34,36,47,473
"Aeschylus",69,0,1,0,4,3,0,0,0,18,0,0,26
"Diodorus",0,41,8,0,0,0,1,8,47,0,7,0,71
"Herodotus",0,5,49,0,0,0,5,1,7,0,10,8,36
"Hesiod",14,0,0,55,20,12,0,1,0,6,0,0,53
"HomerIL",0,0,0,5,81,7,0,0,0,1,0,0,13
"HomerOD",0,0,0,2,27,77,0,0,0,0,0,0,29
"Lysias",0,0,10,0,0,1,40,2,10,0,7,15,45
"Plutarch",0,8,10,0,0,0,2,30,32,0,3,1,56
"Polybius",0,10,6,0,0,0,2,2,83,0,4,1,25
"Sophocles",21,0,0,0,4,3,1,0,1,57,0,1,31
"Thucycides",0,4,13,0,1,0,13,8,18,0,31,8,65
"Xenophon",0,5,14,0,0,0,17,3,8,0,5,34,52
"-SUM-",35,32,62,7,56,26,41,25,123,25,36,34,502
"Aeschylus",76,0,0,2,1,0,0,0,0,17,0,0,20
"Diodorus",0,39,7,0,0,0,2,3,31,0,2,1,46
"Herodotus",2,9,61,0,0,0,6,2,7,0,9,4,39
"Hesiod",9,0,0,54,16,16,0,0,0,4,0,0,45
"HomerIL",1,0,1,4,81,21,1,0,0,0,0,0,28
"HomerOD",1,0,0,1,19,83,0,0,0,0,0,0,21
"Lysias",0,2,15,0,0,0,36,1,12,1,6,11,48
"Plutarch",0,9,9,0,0,0,4,28,32,0,4,3,61
"Polybius",0,14,3,0,0,0,0,6,70,2,1,0,26
"Sophocles",23,0,1,0,3,0,1,0,1,74,0,0,29
"Thucycides",0,6,14,0,0,0,11,4,19,0,27,8,62
"Xenophon",0,9,17,0,0,0,14,8,6,0,10,31,64
"-SUM-",36,49,67,7,39,37,39,24,108,24,32,27,489
"Aeschylus",83,0,0,1,3,0,0,0,0,20,0,1,25
"Diodorus",0,40,6,0,1,0,1,3,40,0,3,1,55
"Herodotus",0,6,57,0,0,1,13,7,8,0,6,7,48
"Hesiod",7,0,0,49,11,15,0,0,0,3,0,0,36
"HomerIL",2,0,0,7,74,16,0,0,0,0,0,0,25
"HomerOD",1,0,0,2,27,61,0,0,0,0,0,0,30
"Lysias",0,4,11,0,0,0,47,1,9,1,3,5,34
"Plutarch",0,7,8,1,0,0,2,35,27,0,8,8,61
"Polybius",0,11,3,0,0,0,2,6,71,0,1,4,27
"Sophocles",16,0,1,3,3,2,2,0,1,81,1,0,29
"Thucycides",0,6,17,0,0,0,12,3,17,0,36,7,62
"Xenophon",0,2,16,0,1,0,10,5,8,0,16,25,58
"-SUM-",26,36,62,14,46,34,42,25,110,24,38,33,490
"Aeschylus",66,0,0,2,5,2,0,0,0,15,0,0,24
"Diodorus",0,36,11,0,0,1,1,4,34,0,1,0,52
"Herodotus",0,9,49,0,0,0,5,5,7,1,9,8,44
"Hesiod",8,0,0,58,24,16,0,0,0,3,0,0,51
"HomerIL",0,0,0,4,73,4,0,0,0,0,0,0,8
"HomerOD",1,0,0,0,27,75,0,0,0,0,0,0,28
"Lysias",0,3,13,0,0,2,47,3,11,0,4,11,47
"Plutarch",1,6,14,0,0,0,4,36,25,0,7,4,61
"Polybius",1,9,1,0,0,0,3,5,84,0,2,1,22
"Sophocles",21,0,0,2,2,0,2,0,0,59,0,0,27
"Thucycides",0,8,22,0,0,0,9,7,21,0,34,11,78
"Xenophon",0,5,14,0,0,0,19,2,13,0,11,26,64
"-SUM-",32,40,75,8,58,25,43,26,111,19,34,35,506
"Aeschylus",71,0,0,4,0,2,0,0,0,11,0,0,17
"Diodorus",0,40,3,0,0,0,0,1,37,0,2,2,45
"Herodotus",0,6,60,0,0,1,2,6,8,2,6,9,40
"Hesiod",9,0,0,40,24,14,0,1,0,7,0,0,55
"HomerIL",0,0,0,4,92,17,0,0,0,1,0,0,22
"HomerOD",2,0,0,2,28,79,0,0,0,0,0,0,32
"Lysias",0,2,12,0,0,1,50,3,9,1,1,10,39
"Plutarch",1,7,6,0,0,0,1,33,29,0,6,1,51
"Polybius",0,9,3,0,0,0,0,2,78,0,2,0,16
"Sophocles",26,0,1,3,5,1,1,0,0,60,0,0,37
"Thucycides",0,7,13,0,1,0,12,9,13,0,31,5,60
"Xenophon",0,8,13,0,0,0,17,8,13,0,13,29,72
"-SUM-",38,39,51,13,58,36,33,30,109,22,30,27,486
"Aeschylus",67,0,1,2,0,6,0,0,0,19,0,0,28
"Diodorus",0,47,6,0,0,0,2,3,34,0,1,1,47
"Herodotus",0,10,58,0,0,0,6,7,11,0,9,3,46
"Hesiod",6,0,1,46,16,12,0,0,0,7,0,0,42
"HomerIL",1,0,0,2,93,15,0,0,0,2,0,0,20
"HomerOD",2,0,1,3,24,67,0,0,0,0,0,0,30
"Lysias",0,0,14,0,0,0,52,3,9,1,3,12,42
"Plutarch",0,1,14,0,0,0,5,40,21,0,2,9,52
"Polybius",1,5,3,0,0,0,0,3,72,0,4,7,23
"Sophocles",23,0,0,0,3,0,0,0,0,54,0,0,26
"Thucycides",0,6,16,0,1,0,10,5,16,0,39,9,63
"Xenophon",0,6,11,0,1,0,19,4,12,0,11,31,64
"-SUM-",33,28,67,7,45,33,42,25,103,29,30,41,483
"Aeschylus",64,0,1,3,2,5,0,1,0,15,0,0,27
"Diodorus",0,38,2,0,0,0,1,4,42,0,0,0,49
"Herodotus",2,0,51,0,0,0,12,4,7,1,11,10,47
"Hesiod",7,0,0,49,12,14,0,0,0,4,0,0,37
"HomerIL",0,0,0,2,97,15,0,0,0,3,0,0,20
"HomerOD",0,0,0,2,21,67,0,0,0,0,0,0,23
"Lysias",0,1,16,0,0,0,47,5,9,1,9,11,52
"Plutarch",0,5,10,0,0,0,2,42,27,0,5,4,53
"Polybius",0,15,2,0,0,0,3,8,67,0,2,2,32
"Sophocles",24,0,1,1,5,0,1,0,1,75,0,0,33
"Thucycides",0,5,15,0,0,0,4,8,10,0,35,9,51
"Xenophon",1,4,14,0,0,0,13,6,11,0,13,31,62
"-SUM-",34,30,61,8,40,34,36,36,107,24,40,36,486
"Aeschylus",68,0,0,4,2,2,0,0,0,17,0,0,25
"Diodorus",0,48,3,0,1,0,1,5,35,0,2,3,50
"Herodotus",0,4,54,0,0,0,11,3,9,2,9,12,50
"Hesiod",4,0,1,46,23,14,0,1,0,4,0,0,47
"HomerIL",0,0,0,3,94,6,0,0,0,0,0,0,9
"HomerOD",0,0,0,3,24,82,0,0,0,0,0,0,27
"Lysias",0,2,12,0,0,1,33,4,7,4,7,9,46
"Plutarch",0,6,8,0,0,0,4,33,21,0,7,5,51
"Polybius",0,10,3,0,0,0,6,2,64,0,2,2,25
"Sophocles",16,0,0,0,4,2,2,0,0,67,1,0,25
"Thucycides",0,7,20,0,0,1,10,12,15,0,31,6,71
"Xenophon",0,4,15,0,0,0,21,3,7,1,14,38,65
"-SUM-",20,33,62,10,54,26,55,30,94,28,42,37,491
"Aeschylus",69,0,0,3,2,2,0,0,0,10,0,0,17
"Diodorus",0,38,4,0,0,0,0,3,41,0,2,3,53
"Herodotus",0,12,50,0,0,0,6,5,13,1,10,7,54
"Hesiod",6,0,0,44,18,15,0,0,0,3,0,0,42
"HomerIL",2,0,0,1,73,19,0,0,0,1,0,0,23
"HomerOD",1,0,0,2,27,77,1,0,0,0,0,0,31
"Lysias",0,2,15,0,0,0,54,4,6,2,6,10,45
"Plutarch",0,8,5,0,0,0,1,40,35,0,5,4,58
"Polybius",0,14,1,0,0,0,2,1,79,0,5,2,25
"Sophocles",28,0,1,4,2,0,0,1,0,68,0,0,36
"Thucycides",0,5,15,0,0,0,10,8,15,1,24,10,64
"Xenophon",0,5,10,0,0,0,17,7,11,0,5,30,55
"-SUM-",37,46,51,10,49,36,37,29,121,18,33,36,503
"Aeschylus",78,0,0,4,2,5,0,0,0,14,0,0,25
"Diodorus",0,31,6,0,0,0,0,3,39,0,3,2,53
"Herodotus",1,6,63,0,0,0,12,10,12,1,11,9,62
"Hesiod",7,0,0,47,17,13,0,0,0,4,0,0,41
"HomerIL",1,0,0,4,67,13,0,0,0,1,0,0,19
"HomerOD",0,0,0,3,19,79,0,0,0,0,0,0,22
"Lysias",1,1,12,0,0,0,42,2,10,2,7,10,45
"Plutarch",0,6,8,0,1,0,2,32,35,0,9,6,67
"Polybius",0,8,4,0,0,0,2,5,82,0,4,1,24
"Sophocles",13,0,1,2,1,2,1,0,0,59,0,0,20
"Thucycides",0,7,16,0,0,0,8,8,19,0,31,7,65
"Xenophon",0,5,17,0,0,0,20,5,13,0,8,27,68
"-SUM-",23,33,64,13,40,33,45,33,128,22,42,35,511
"Aeschylus",75,0,0,3,0,0,1,0,0,21,0,0,25
"Diodorus",0,43,9,0,0,0,0,3,34,0,1,2,49
"Herodotus",2,2,54,0,0,0,6,8,7,2,7,11,45
"Hesiod",11,0,0,50,7,15,0,0,0,5,0,0,38
"HomerIL",1,0,0,3,72,16,0,0,0,0,0,0,20
"HomerOD",1,0,0,3,24,76,0,0,0,1,0,0,29
"Lysias",0,2,9,0,0,0,47,5,15,3,5,14,53
"Plutarch",0,6,9,0,0,0,2,34,34,0,7,3,61
"Polybius",1,13,5,0,1,0,2,3,79,0,5,1,31
"Sophocles",9,0,0,1,2,2,2,0,0,81,1,0,17
"Thucycides",0,7,12,0,0,0,6,4,15,0,38,4,48
"Xenophon",0,3,11,0,0,1,12,3,10,1,18,25,59
"-SUM-",25,33,55,10,34,34,31,26,115,33,44,35,475
"Aeschylus",64,0,0,3,2,5,0,0,0,22,0,0,32
"Diodorus",0,30,8,0,0,0,1,5,53,0,2,1,70
"Herodotus",0,5,65,0,0,0,4,8,6,2,12,6,43
"Hesiod",7,0,0,43,16,14,0,0,0,6,0,0,43
"HomerIL",1,0,1,1,78,5,0,0,0,0,0,0,8
"HomerOD",0,0,0,2,28,68,0,0,0,1,0,0,31
"Lysias",0,4,10,0,0,1,31,2,13,1,4,8,43
"Plutarch",0,6,10,0,1,0,4,39,26,0,13,10,70
"Polybius",1,11,1,0,0,0,2,2,73,0,1,2,20
"Sophocles",16,0,1,1,5,3,1,0,1,78,0,0,28
"Thucycides",0,7,22,0,0,0,11,4,21,1,25,9,75
"Xenophon",0,5,21,0,0,0,15,2,15,0,8,26,66
"-SUM-",25,38,74,7,52,28,38,23,135,33,40,36,529
"Aeschylus",73,0,0,0,1,0,0,0,0,16,0,0,17
"Diodorus",0,37,6,0,0,0,1,3,43,0,3,1,57
"Herodotus",1,5,49,0,0,0,10,3,4,1,6,3,33
"Hesiod",3,0,0,41,20,16,0,0,0,5,0,0,44
"HomerIL",0,0,0,4,91,17,1,0,0,0,0,0,22
"HomerOD",1,0,0,1,23,66,0,0,0,0,0,0,25
"Lysias",0,1,15,0,0,0,40,4,11,1,5,14,51
"Plutarch",0,7,11,0,0,0,6,33,25,0,9,3,61
"Polybius",0,7,3,0,0,0,3,3,72,0,5,0,21
"Sophocles",18,0,0,1,4,2,4,0,0,80,0,0,29
"Thucycides",0,8,15,0,0,2,9,6,16,1,33,13,70
"Xenophon",0,7,20,0,0,0,16,5,14,0,10,32,72
"-SUM-",23,35,70,6,48,37,50,24,113,24,38,34,502
"Aeschylus",65,0,0,2,2,3,0,0,0,20,0,0,27
"Diodorus",0,34,4,0,0,0,1,2,37,0,3,2,49
"Herodotus",1,8,53,1,0,0,4,6,9,0,6,11,46
"Hesiod",6,0,0,57,17,15,0,0,0,4,0,0,42
"HomerIL",0,0,0,6,67,13,0,0,0,0,0,0,19
"HomerOD",0,0,0,1,23,68,1,0,0,0,0,0,25
"Lysias",0,1,17,0,0,1,47,2,15,0,5,14,55
"Plutarch",0,4,12,0,1,0,3,28,30,0,9,4,63
"Polybius",0,8,2,0,0,0,1,3,85,0,2,1,17
"Sophocles",18,0,1,2,3,1,0,0,1,73,0,1,27
"Thucycides",0,7,15,0,0,1,14,7,28,0,27,10,82
"Xenophon",0,6,20,0,0,0,15,2,13,1,12,24,69
"-SUM-",25,34,71,12,46,34,39,22,133,25,37,43,521
"Aeschylus",77,0,0,3,2,4,0,0,0,27,0,0,36
"Diodorus",0,37,4,0,0,0,1,7,46,0,0,3,61
"Herodotus",0,6,51,0,0,0,12,1,3,2,9,7,40
"Hesiod",8,0,0,57,25,11,0,0,0,6,0,0,50
"HomerIL",2,0,0,1,77,6,0,0,0,0,0,0,9
"HomerOD",0,0,0,3,29,78,0,0,0,0,0,0,32
"Lysias",0,1,9,0,0,1,49,1,8,2,7,9,38
"Plutarch",1,5,13,0,0,0,3,29,28,0,9,3,62
"Polybius",0,7,4,0,0,0,3,5,69,0,3,5,27
"Sophocles",16,0,0,2,4,2,0,0,0,63,0,0,24
"Thucycides",0,8,16,0,0,0,8,7,9,0,33,11,59
"Xenophon",0,4,23,0,0,0,15,5,9,0,9,26,65
"-SUM-",27,31,69,9,60,24,42,26,103,37,37,38,503
"Aeschylus",73,0,0,1,3,4,0,0,0,18,0,0,26
"Diodorus",0,39,6,0,0,1,1,8,47,0,4,0,67
"Herodotus",0,8,59,0,0,1,3,4,7,0,6,9,38
"Hesiod",12,0,0,47,16,19,0,1,0,9,0,0,57
"HomerIL",2,0,0,1,86,12,0,0,0,0,0,0,15
"HomerOD",1,0,0,2,22,87,0,0,0,0,0,0,25
"Lysias",0,0,12,0,0,1,30,2,17,0,6,10,48
"Plutarch",0,6,10,0,0,0,2,35,31,1,4,1,55
"Polybius",0,7,2,0,0,0,2,2,67,0,4,1,18
"Sophocles",12,0,0,3,2,1,0,0,0,70,0,0,18
"Thucycides",0,4,17,0,0,1,8,7,16,0,25,17,70
"Xenophon",1,5,18,0,0,0,17,6,15,0,8,24,70
"-SUM-",28,30,65,7,43,40,33,30,133,28,32,38,507
"Aeschylus",80,0,0,0,6,2,0,0,0,15,0,0,23
"Diodorus",0,32,6,0,0,1,0,2,44,0,3,1,57
"Herodotus",2,4,52,0,0,0,4,4,14,0,7,3,38
"Hesiod",6,0,1,53,24,13,0,0,0,8,0,0,52
"HomerIL",1,0,0,6,81,14,0,0,0,0,0,0,21
"HomerOD",0,0,0,3,22,73,0,0,0,0,0,0,25
"Lysias",0,0,14,0,0,0,48,3,13,4,1,12,47
"Plutarch",0,6,8,0,0,0,3,31,28,0,3,3,51
"Polybius",0,13,2,0,0,0,2,4,58,0,1,2,24
"Sophocles",24,0,1,4,3,1,0,0,0,75,0,0,33
"Thucycides",0,5,15,0,0,2,13,8,22,0,23,6,71
"Xenophon",0,8,22,0,0,0,9,3,14,0,12,33,68
"-SUM-",33,36,69,13,55,33,31,24,135,27,27,27,510
"Aeschylus",66,0,1,1,2,2,0,0,0,24,0,1,31
"Diodorus",0,40,4,0,0,0,1,4,42,0,2,0,53
"Herodotus",0,7,47,0,0,0,11,3,7,3,6,8,45
"Hesiod",11,0,0,50,17,14,0,0,0,4,0,0,46
"HomerIL",1,0,0,4,92,8,0,0,0,0,0,0,13
"HomerOD",2,0,0,3,22,83,0,0,0,1,0,0,28
"Lysias",0,2,19,0,0,0,50,5,16,2,4,8,56
"Plutarch",0,3,8,0,1,0,0,30,34,0,7,2,55
"Polybius",0,8,2,0,0,0,0,2,79,1,1,0,14
"Sophocles",11,0,0,1,3,2,0,0,1,76,0,0,18
"Thucycides",0,3,9,0,1,0,8,11,16,0,29,5,53
"Xenophon",0,10,12,0,0,0,16,5,12,0,11,29,66
"-SUM-",25,33,55,9,46,26,36,30,128,35,31,24,478
"Aeschylus",77,0,0,1,2,2,0,0,0,17,0,0,22
"Diodorus",0,32,11,0,0,0,0,6,38,0,4,2,61
"Herodotus",0,8,48,0,1,0,6,1,8,0,12,6,42
"Hesiod",12,0,0,46,20,14,0,0,0,5,0,0,51
"HomerIL",2,0,0,4,88,9,0,0,0,1,0,0,16
"HomerOD",3,0,0,3,19,88,0,0,1,3,0,0,29
"Lysias",0,2,13,0,0,0,41,3,15,0,3,8,44
"Plutarch",0,4,12,1,0,0,3,29,29,0,7,5,61
"Polybius",0,6,4,0,0,0,2,3,76,0,4,2,21
"Sophocles",21,0,0,2,6,1,1,0,0,81,1,1,33
"Thucycides",0,7,12,0,0,0,3,9,20,0,25,3,54
"Xenophon",0,2,16,0,0,0,14,3,13,1,9,26,58
"-SUM-",38,29,68,11,48,26,29,25,124,27,40,27,492
"Aeschylus",70,0,1,1,2,0,0,0,0,15,0,0,19
"Diodorus",0,41,8,0,0,0,1,2,50,1,2,1,65
"Herodotus",0,3,54,0,0,1,4,4,10,2,10,7,41
"Hesiod",5,0,0,44,15,13,0,0,0,4,0,0,37
"HomerIL",1,0,0,0,81,11,0,0,0,1,0,0,13
"HomerOD",3,0,0,1,18,81,0,0,0,0,0,0,22
"Lysias",0,2,15,0,0,0,50,2,15,2,2,10,48
"Plutarch",0,7,11,0,0,0,2,38,20,0,7,3,50
"Polybius",0,11,9,0,0,0,2,2,81,0,1,0,25
"Sophocles",20,0,2,0,2,4,2,0,1,68,0,0,31
"Thucycides",0,7,20,0,1,0,9,7,18,0,27,10,72
"Xenophon",0,8,13,0,0,0,14,3,14,0,13,26,65
"-SUM-",29,38,79,2,38,29,34,20,128,25,35,31,488
"Aeschylus",88,0,0,1,3,1,0,0,0,16,0,0,21
"Diodorus",0,38,5,0,1,0,0,3,38,0,0,2,49
"Herodotus",0,9,62,0,1,0,4,6,11,0,5,10,46
"Hesiod",7,0,0,49,24,18,0,0,0,4,0,0,53
"HomerIL",0,0,0,2,83,13,0,0,0,0,0,0,15
"HomerOD",1,0,0,2,16,58,0,0,0,1,0,0,20
"Lysias",0,2,15,0,0,0,38,2,13,1,7,7,47
"Plutarch",0,7,18,0,1,0,1,33,23,1,8,1,60
"Polybius",0,9,6,0,0,0,3,6,85,0,2,2,28
"Sophocles",26,0,0,1,5,3,1,0,0,70,0,0,36
"Thucycides",0,6,15,0,2,0,7,10,14,0,24,9,63
"Xenophon",0,6,14,0,0,0,13,6,10,1,9,24,59
"-SUM-",34,39,73,6,53,35,29,33,109,24,31,31,497
"Aeschylus",69,0,0,2,0,1,0,0,0,16,0,0,19
"Diodorus",0,39,4,0,0,0,1,1,40,0,2,1,49
"Herodotus",0,5,55,0,0,1,10,3,11,1,10,7,48
"Hesiod",10,0,0,50,18,14,0,0,0,4,0,0,46
"HomerIL",1,0,0,4,86,10,0,0,0,0,0,0,15
"HomerOD",0,0,0,2,24,79,0,0,0,0,0,0,26
"Lysias",0,0,15,0,0,0,48,5,12,1,6,6,45
"Plutarch",0,8,8,0,1,0,3,33,38,0,6,4,68
"Polybius",0,4,5,0,0,0,3,1,60,0,1,0,14
"Sophocles",21,0,1,0,4,1,0,0,0,73,0,0,27
"Thucycides",0,7,12,0,2,0,11,5,14,0,38,8,59
"Xenophon",0,3,14,0,0,0,15,5,18,0,19,29,74
"-SUM-",32,27,59,8,49,27,43,20,133,22,44,26,490
"Aeschylus",70,0,0,3,2,4,0,0,0,17,0,0,26
"Diodorus",0,39,8,0,0,0,1,6,31,0,4,3,53
"Herodotus",0,3,47,0,0,0,4,5,11,0,6,7,36
"Hesiod",14,0,0,47,15,9,0,0,0,5,0,0,43
"HomerIL",2,0,0,4,85,17,0,0,0,0,0,0,23
"HomerOD",1,0,0,3,26,68,0,0,0,1,0,0,31
"Lysias",0,2,21,0,0,2,50,4,11,2,7,14,63
"Plutarch",1,7,10,0,0,0,2,44,22,0,8,4,54
"Polybius",0,10,4,0,0,1,0,5,74,0,3,0,23
"Sophocles",13,0,1,3,5,3,5,0,0,54,0,0,30
"Thucycides",0,6,22,0,0,0,5,6,14,0,33,13,66
"Xenophon",0,5,20,0,1,0,9,5,12,0,8,30,60
"-SUM-",31,33,86,13,49,36,26,31,101,25,36,41,508
"Aeschylus",66,0,1,2,5,1,0,0,0,11,0,0,20
"Diodorus",0,37,3,0,0,0,3,4,46,0,2,1,59
"Herodotus",2,4,58,0,3,1,6,1,6,0,7,15,45
"Hesiod",10,0,0,38,14,16,0,0,0,9,0,0,49
"HomerIL",2,0,0,4,75,10,0,0,0,0,0,0,16
"HomerOD",1,0,0,0,17,74,0,0,0,2,0,0,20
"Lysias",0,4,21,0,0,1,44,4,12,2,6,9,59
"Plutarch",0,9,8,0,0,0,1,39,31,1,7,3,60
"Polybius",0,5,2,0,0,0,3,3,89,0,6,1,20
"Sophocles",20,0,2,3,5,2,0,0,2,71,0,0,34
"Thucycides",0,4,23,0,0,0,6,6,15,0,21,8,62
"Xenophon",1,5,20,0,0,0,17,3,8,0,7,32,61
"-SUM-",36,31,80,9,44,31,36,21,120,25,35,37,505
"Aeschylus",72,0,1,2,3,4,0,0,0,11,0,0,21
"Diodorus",0,31,3,0,0,0,4,7,45,0,1,2,62
"Herodotus",0,7,58,0,0,0,3,3,9,0,9,8,39
"Hesiod",5,0,0,48,15,19,0,0,0,4,0,1,44
"HomerIL",1,0,0,3,87,13,0,0,0,0,0,0,17
"HomerOD",1,0,0,0,30,83,0,0,0,1,0,0,32
"Lysias",0,2,12,0,0,1,45,2,9,0,2,10,38
"Plutarch",0,8,6,0,1,0,1,28,37,0,7,6,66
"Polybius",0,5,0,0,0,0,2,4,78,0,2,2,15
"Sophocles",19,0,0,1,6,1,1,0,1,66,0,1,30
"Thucycides",0,7,14,0,0,0,14,9,16,0,32,11,71
"Xenophon",0,5,16,0,1,0,12,1,15,0,6,30,56
"-SUM-",26,34,52,6,56,38,37,26,132,16,27,41,491
"Aeschylus",72,0,0,4,0,4,0,0,0,19,0,0,27
"Diodorus",0,38,5,0,0,0,1,7,35,0,3,5,56
"Herodotus",0,5,51,0,0,0,5,5,9,0,10,7,41
"Hesiod",11,0,0,63,13,9,0,0,0,5,0,0,38
"HomerIL",2,0,0,2,91,12,0,0,0,0,0,0,16
"HomerOD",1,0,0,3,18,85,0,0,0,0,0,0,22
"Lysias",0,1,10,0,0,0,39,2,6,1,6,12,38
"Plutarch",0,8,11,0,2,0,1,38,21,0,7,4,54
"Polybius",0,3,2,0,0,0,2,8,74,0,3,3,21
"Sophocles",23,0,0,0,4,3,0,0,0,66,0,0,30
"Thucycides",0,6,12,0,1,0,9,10,19,1,34,8,66
"Xenophon",0,9,8,0,1,1,14,1,10,1,13,31,58
"-SUM-",37,32,48,9,39,29,32,33,100,27,42,39,467
"Aeschylus",70,0,1,3,3,1,0,0,0,21,0,0,29
"Diodorus",0,40,3,0,0,0,1,5,51,0,3,0,63
"Herodotus",1,4,50,0,0,0,1,5,10,1,13,5,40
"Hesiod",5,0,0,54,15,11,0,0,0,6,0,0,37
"HomerIL",4,0,0,2,68,9,0,0,0,0,0,0,15
"HomerOD",0,0,1,1,26,78,0,0,0,0,0,0,28
"Lysias",0,2,13,0,0,0,44,3,7,2,7,12,46
"Plutarch",0,8,13,0,0,0,1,37,36,0,5,4,67
"Polybius",0,6,0,0,0,0,2,3,92,0,5,2,18
"Sophocles",10,0,0,5,3,3,2,0,0,79,0,0,23
"Thucycides",0,6,14,0,1,0,7,7,17,0,34,6,58
