"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIL","HomerOD","Lysias","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Xenophon",0,6,19,0,2,1,29,8,35,2,14,26,116
"-SUM-",51,58,95,15,90,44,64,35,222,46,49,46,815
"Aeschylus",118,0,1,2,3,1,0,1,0,33,0,0,41
"Diodorus",0,55,4,0,0,0,3,4,61,0,3,2,77
"Herodotus",0,12,70,0,2,2,5,2,17,1,13,9,63
"Hesiod",20,0,0,53,34,28,0,0,0,10,0,0,92
"HomerIL",1,0,0,7,109,23,0,0,0,2,0,0,33
"HomerOD",1,0,1,6,52,85,0,0,0,1,0,0,61
"Lysias",0,3,20,0,4,0,62,4,20,3,13,7,74
"Plutarch",1,11,16,0,0,0,3,38,24,0,11,6,72
"Polybius",0,10,5,0,0,0,4,5,99,1,4,0,29
"Sophocles",25,0,1,3,8,1,0,0,1,101,0,0,39
"Thucydides",2,5,23,0,0,0,12,8,34,0,38,9,93
"Xenophon",0,10,26,0,0,1,21,8,21,2,13,37,102
"-SUM-",50,51,97,18,103,56,48,32,178,53,57,33,776
"Aeschylus",106,0,0,8,6,6,1,1,0,15,0,2,39
"Diodorus",0,53,3,0,0,0,2,7,65,0,2,0,79
"Herodotus",4,6,72,0,0,0,7,7,17,3,6,10,60
"Hesiod",16,0,0,65,27,18,0,0,0,5,0,0,66
"HomerIL",6,0,0,4,102,24,0,0,1,3,0,0,38
"HomerOD",3,0,0,5,36,101,0,0,0,1,0,0,45
"Lysias",1,2,12,0,1,0,62,3,13,1,6,20,59
"Plutarch",0,11,14,0,2,0,2,32,59,1,7,9,105
"Polybius",1,8,5,0,0,0,6,6,100,0,5,2,33
"Sophocles",40,0,2,3,9,6,3,0,1,81,0,0,64
"Thucydides",1,8,24,0,2,0,14,13,31,1,40,9,103
"Xenophon",0,6,27,0,0,0,32,3,23,1,11,33,103
"-SUM-",72,41,87,20,83,54,67,40,210,31,37,52,794
"Aeschylus",93,0,0,2,5,4,0,1,0,34,0,0,46
"Diodorus",0,50,11,0,0,0,0,6,59,0,3,4,83
"Herodotus",1,7,73,0,1,5,8,4,20,2,17,14,79
"Hesiod",13,0,0,59,32,22,0,0,0,9,0,0,76
"HomerIL",5,0,0,4,100,15,0,0,0,1,0,0,25
"HomerOD",3,0,0,3,38,97,0,0,0,0,0,0,44
"Lysias",0,1,13,0,1,0,57,6,16,7,8,13,65
"Plutarch",1,9,19,1,1,0,10,41,49,1,10,5,106
"Polybius",0,11,5,0,0,0,5,3,117,0,6,6,36
"Sophocles",28,0,0,1,13,6,1,0,1,73,0,0,50
"Thucydides",0,10,21,0,0,1,15,8,34,1,45,11,101
"Xenophon",1,6,32,0,1,0,19,4,23,0,9,30,95
"-SUM-",52,44,101,11,92,53,58,32,202,55,53,53,806
"Aeschylus",98,0,0,3,3,1,0,0,0,27,0,0,34
"Diodorus",0,36,5,0,0,0,3,4,82,0,5,5,104
"Herodotus",1,8,61,0,0,1,9,7,21,3,8,4,62
"Hesiod",15,0,0,60,32,23,1,0,0,10,1,0,82
"HomerIL",2,0,1,6,118,33,0,0,1,1,0,0,44
"HomerOD",4,0,0,2,34,108,0,0,0,1,0,0,41
"Lysias",0,3,21,0,1,2,59,5,15,2,11,11,71
"Plutarch",1,13,12,0,0,0,8,42,34,2,12,6,88
"Polybius",0,11,7,0,1,0,3,4,105,0,3,3,32
"Sophocles",30,0,1,2,8,4,0,1,1,93,0,0,47
"Thucydides",0,6,22,1,0,0,10,9,25,1,39,8,82
"Xenophon",1,9,22,0,1,0,26,9,19,0,13,35,100
"-SUM-",54,50,91,14,80,64,60,39,198,47,53,37,787
"Aeschylus",98,0,1,1,3,6,0,0,0,36,0,0,47
"Diodorus",1,48,9,0,0,0,1,10,59,0,2,1,83
"Herodotus",0,6,56,0,1,0,4,6,22,3,12,13,67
"Hesiod",21,0,1,52,25,21,0,0,0,12,0,0,80
"HomerIL",2,0,1,6,122,19,0,0,0,1,0,0,29
"HomerOD",3,0,0,4,42,101,0,0,0,1,0,1,51
"Lysias",1,4,18,0,0,0,52,2,22,2,8,19,76
"Plutarch",1,13,20,0,0,1,7,35,50,1,8,7,108
"Polybius",0,17,7,0,0,0,10,5,110,0,1,3,43
"Sophocles",23,0,2,4,9,1,1,0,0,90,0,1,41
"Thucydides",0,7,24,0,0,0,12,9,28,0,37,11,91
"Xenophon",0,4,22,0,1,1,22,11,25,0,11,27,97
"-SUM-",52,51,105,15,81,49,57,43,206,56,42,56,813
"Aeschylus",115,0,0,5,6,5,0,1,0,22,0,0,39
"Diodorus",0,55,8,0,0,0,3,6,64,0,3,2,86
"Herodotus",2,6,65,0,1,1,8,7,11,2,16,9,63
"Hesiod",16,0,0,58,27,24,0,0,0,5,0,0,72
"HomerIL",4,0,1,2,110,20,0,0,0,1,0,0,28
"HomerOD",4,0,0,1,42,105,1,0,0,0,0,0,48
"Lysias",1,0,20,0,0,0,40,8,29,0,16,12,86
"Plutarch",0,13,11,0,1,2,7,39,33,1,9,6,83
"Polybius",1,23,11,0,0,0,6,0,104,1,6,1,49
"Sophocles",25,0,0,3,9,1,2,1,1,93,0,2,44
"Thucydides",1,11,23,0,0,2,12,7,25,1,42,13,95
"Xenophon",1,12,19,0,2,1,14,7,23,0,14,29,93
"-SUM-",55,65,93,11,88,56,53,37,186,33,64,45,786
"Aeschylus",97,1,1,5,2,4,0,0,0,21,0,0,34
"Diodorus",0,47,4,0,0,0,3,6,53,0,4,4,74
"Herodotus",2,9,78,0,3,0,3,3,22,5,13,12,72
"Hesiod",15,0,2,59,37,27,0,0,0,10,0,0,91
"HomerIL",4,0,1,2,113,20,0,0,0,2,0,0,29
"HomerOD",2,0,0,3,39,103,0,0,0,0,1,0,45
"Lysias",0,2,17,0,0,0,69,7,25,3,12,15,81
"Plutarch",1,14,12,0,0,0,7,33,43,0,8,8,93
"Polybius",0,10,4,0,0,0,8,4,93,0,5,5,36
"Sophocles",37,0,0,3,7,3,1,0,0,108,0,0,51
"Thucydides",0,4,10,0,0,0,15,7,24,0,35,11,71
"Xenophon",0,10,15,0,0,0,20,6,20,0,10,48,81
"-SUM-",61,50,66,13,88,54,57,33,187,41,53,55,758
"Aeschylus",108,0,1,2,6,2,0,1,0,22,0,1,35
"Diodorus",0,53,13,0,0,1,0,8,51,0,4,1,78
"Herodotus",3,7,68,0,0,0,12,7,23,2,11,11,76
"Hesiod",22,0,0,54,25,21,0,0,0,7,0,0,75
"HomerIL",2,0,0,1,120,19,0,0,0,4,0,0,26
"HomerOD",4,0,0,2,35,93,0,0,0,2,0,0,43
"Lysias",0,3,24,0,0,1,53,3,21,1,7,13,73
"Plutarch",0,10,17,0,0,1,11,29,40,0,8,5,92
"Polybius",1,22,2,0,0,0,7,7,103,0,7,1,47
"Sophocles",40,0,0,2,6,2,1,1,3,80,2,1,58
"Thucydides",0,8,23,0,0,0,20,9,28,1,32,12,101
"Xenophon",1,8,18,0,1,1,27,11,24,2,19,32,112
"-SUM-",73,58,98,7,73,48,78,47,190,41,58,45,816
"Aeschylus",99,0,0,5,7,7,0,0,0,24,0,0,43
"Diodorus",1,48,8,0,0,0,0,4,52,0,2,2,69
"Herodotus",4,9,70,0,1,1,12,11,16,0,11,9,74
"Hesiod",11,0,0,60,21,21,0,0,0,3,0,0,56
"HomerIL",2,0,0,1,124,26,0,0,0,1,0,0,30
"HomerOD",3,0,0,2,47,107,0,0,0,1,0,1,54
"Lysias",1,5,23,0,0,0,55,8,25,1,7,11,81
"Plutarch",1,12,18,0,0,0,7,40,44,0,6,4,92
"Polybius",0,5,5,0,0,0,2,10,101,0,4,4,30
"Sophocles",37,0,0,2,4,5,1,0,1,77,0,1,51
"Thucydides",1,6,23,0,1,2,12,13,32,0,36,12,102
"Xenophon",0,7,25,0,1,0,19,5,23,1,17,44,98
"-SUM-",61,44,102,10,82,62,53,51,193,31,47,44,780
"Aeschylus",117,0,3,4,2,2,0,0,0,35,0,0,46
"Diodorus",1,50,11,0,0,0,2,5,50,0,4,6,79
"Herodotus",2,6,67,0,3,2,9,4,25,1,15,7,74
"Hesiod",14,0,0,71,21,21,0,0,0,10,0,0,66
"HomerIL",2,0,0,3,118,26,0,0,0,0,0,0,31
"HomerOD",4,0,1,1,34,100,0,0,0,2,0,0,42
"Lysias",2,2,16,0,0,0,58,4,20,3,11,14,72
"Plutarch",0,7,18,1,0,0,7,37,39,0,4,4,80
"Polybius",0,7,6,0,0,0,4,10,125,0,3,0,30
"Sophocles",26,0,1,4,5,1,0,0,1,92,0,0,38
"Thucydides",0,5,21,0,0,0,17,7,38,1,32,13,102
"Xenophon",0,5,18,0,2,0,21,7,18,2,7,34,80
"-SUM-",51,32,95,13,67,52,60,37,191,54,44,44,740
"Aeschylus",102,0,0,8,3,2,0,1,0,31,0,1,46
"Diodorus",1,49,10,0,0,0,1,7,54,0,4,2,79
"Herodotus",1,8,73,1,1,0,5,7,22,2,15,13,75
"Hesiod",15,0,1,66,24,21,0,0,0,10,1,0,72
"HomerIL",1,0,0,8,121,17,0,0,0,1,0,0,27
"HomerOD",2,0,0,3,32,113,0,0,0,1,0,0,38
"Lysias",0,2,16,0,1,1,61,7,27,2,14,11,81
"Plutarch",2,10,12,0,0,0,7,37,49,0,9,4,93
"Polybius",0,18,3,0,0,0,3,7,92,1,1,3,36
"Sophocles",31,0,1,2,8,6,1,0,2,88,0,1,52
"Thucydides",0,7,17,0,0,0,8,10,27,2,36,7,78
"Xenophon",0,8,14,0,2,1,10,10,27,1,17,36,90
"-SUM-",53,53,74,22,71,48,35,49,208,51,61,42,767
"Aeschylus",89,0,0,5,3,0,0,0,0,22,0,0,30
"Diodorus",1,50,12,0,0,0,0,8,72,0,2,2,97
"Herodotus",1,12,53,0,1,2,9,4,19,3,10,8,69
"Hesiod",16,0,0,59,35,19,0,0,0,11,1,0,82
"HomerIL",0,0,0,4,114,19,0,0,0,0,0,0,23
