"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIL","HomerOD","Lysias","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"-SUM-",63,45,99,21,70,60,64,37,188,56,68,43,814
"Aeschylus",103,0,1,1,6,2,0,0,1,24,0,0,35
"Diodorus",0,66,9,0,0,0,2,6,43,0,1,3,64
"Herodotus",2,6,61,0,1,1,5,3,21,3,19,9,70
"Hesiod",14,0,0,63,29,18,0,0,0,6,0,0,67
"HomerIL",2,0,0,4,109,22,0,0,0,3,0,0,31
"HomerOD",1,0,1,4,23,96,0,0,0,1,0,0,30
"Lysias",0,2,12,0,0,0,67,5,21,2,16,14,72
"Plutarch",2,9,16,0,1,0,5,45,32,0,8,5,78
"Polybius",1,13,4,0,0,0,1,10,107,0,3,5,37
"Sophocles",27,0,2,4,8,6,1,1,1,108,0,0,50
"Thucydides",1,9,23,0,0,0,15,13,33,0,25,10,104
"Xenophon",0,4,31,0,2,0,25,7,28,1,16,39,114
"-SUM-",50,43,99,13,70,49,54,45,180,40,63,46,752
"Aeschylus",108,0,0,4,6,5,0,0,0,21,0,1,37
"Diodorus",0,46,12,0,0,0,3,6,55,0,4,2,82
"Herodotus",1,8,85,0,0,1,10,8,22,3,10,12,75
"Hesiod",20,0,1,57,25,20,0,0,0,5,0,0,71
"HomerIL",3,0,0,7,107,16,0,0,0,1,0,0,27
"HomerOD",3,0,0,1,39,93,0,0,0,3,0,0,46
"Lysias",0,1,20,0,0,0,58,5,16,3,4,16,65
"Plutarch",0,8,20,1,0,1,6,36,32,0,12,3,83
"Polybius",0,10,9,0,0,0,5,8,103,0,5,4,41
"Sophocles",32,0,2,2,10,4,0,0,2,96,3,2,57
"Thucydides",2,10,18,0,0,2,16,7,27,1,39,11,94
"Xenophon",0,8,21,0,0,0,22,6,19,1,15,43,92
"-SUM-",61,45,103,15,80,49,62,40,173,38,53,51,770
"Aeschylus",99,0,0,4,4,5,0,1,0,23,0,0,37
"Diodorus",2,54,12,0,0,0,0,6,70,0,1,1,92
"Herodotus",1,7,66,0,1,2,11,5,17,1,8,12,65
"Hesiod",16,0,0,64,24,20,0,0,0,2,0,0,62
"HomerIL",4,0,0,5,116,18,0,0,0,0,0,0,27
"HomerOD",1,0,0,7,35,100,0,0,0,1,0,0,44
"Lysias",0,4,21,0,0,0,46,4,33,4,9,8,83
"Plutarch",0,10,11,0,1,1,11,36,35,1,15,10,95
"Polybius",0,20,8,0,1,0,5,12,101,0,3,1,50
"Sophocles",33,0,2,3,7,2,2,0,3,89,0,0,52
"Thucydides",2,10,30,2,0,0,9,7,34,0,32,10,104
"Xenophon",0,8,25,0,1,0,21,7,15,0,15,35,92
"-SUM-",59,59,109,21,74,48,59,42,207,32,51,42,803
"Aeschylus",108,1,0,5,5,1,0,0,0,31,0,0,43
"Diodorus",0,50,6,0,0,0,1,9,48,0,2,6,72
"Herodotus",2,11,69,0,0,1,8,9,16,2,15,12,76
"Hesiod",18,0,0,52,21,26,0,0,0,7,1,0,73
"HomerIL",0,0,1,3,103,27,0,0,0,1,0,0,32
"HomerOD",2,0,0,3,32,114,0,0,0,1,0,0,38
"Lysias",2,2,21,0,0,0,56,6,17,7,15,9,79
"Plutarch",1,18,13,0,0,0,7,44,18,1,13,7,78
"Polybius",0,14,4,0,0,0,8,5,114,0,4,4,39
"Sophocles",35,0,2,8,6,3,0,0,0,80,0,0,54
"Thucydides",0,5,23,1,0,0,13,6,36,0,45,9,93
"Xenophon",1,7,24,0,1,1,17,9,16,2,16,35,94
"-SUM-",61,58,94,20,65,59,54,44,151,52,66,47,771
"Aeschylus",87,1,0,5,6,3,0,0,0,33,0,0,48
"Diodorus",1,56,8,0,0,0,5,10,66,0,6,1,97
"Herodotus",0,7,74,3,0,1,8,4,14,2,13,12,64
"Hesiod",18,0,0,51,30,19,0,0,0,5,0,0,72
"HomerIL",1,0,1,7,95,33,0,0,0,3,0,0,45
"HomerOD",7,0,0,3,43,89,0,0,0,0,0,0,53
"Lysias",2,1,18,0,1,0,53,4,27,4,9,13,79
