,Aeschylus,Diodorus,Herodotus,Hesiod,HomerIl,HomerOd,Lysias,Plutarch,Polybius,Sophocles,Thucydides,Xenophon,-SUM-,,,,
Hesiod,0,0,0,25,8,3,0,0,0,1,0,0,12,,,,
HomerIl,0,0,0,0,27,2,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,1,10,33,0,0,0,0,0,0,11,,,,
Lysias,0,0,6,0,0,0,31,1,0,0,0,1,8,,,,
Plutarch,0,2,0,0,0,0,0,18,10,0,0,0,12,,,,
Polybius,0,2,0,0,0,0,0,2,37,0,1,0,5,,,,
Sophocles,5,0,1,0,1,0,0,0,0,32,0,0,7,,,,
Thucydides,0,0,10,0,0,0,1,1,4,0,16,2,18,,,,
Xenophon,0,2,7,0,0,0,10,2,1,0,2,22,24,,,,
-SUM-,5,7,26,2,19,5,12,6,34,7,5,3,131,,,,
Aeschylus,38,0,0,0,0,0,0,0,0,2,0,0,2,,,,
Diodorus,0,28,0,0,0,0,0,1,10,0,1,0,12,,,,
Herodotus,1,2,23,0,0,0,5,0,1,0,3,4,16,,,,
Hesiod,1,0,0,25,6,0,0,0,0,0,0,0,7,,,,
HomerIl,0,0,0,0,32,5,0,0,0,0,0,0,5,,,,
HomerOd,0,0,0,0,4,38,0,0,0,0,0,0,4,,,,
Lysias,0,0,7,0,0,0,24,0,3,0,5,3,18,,,,
Plutarch,0,4,0,0,0,0,0,24,4,0,4,4,16,,,,
Polybius,0,0,0,0,0,0,0,0,33,0,0,0,0,,,,
Sophocles,4,0,0,0,0,0,0,0,0,34,0,0,4,,,,
Thucydides,0,1,7,0,0,0,3,2,3,0,18,1,17,,,,
Xenophon,0,1,8,0,0,0,4,1,5,1,2,20,22,,,,
-SUM-,6,8,22,0,10,5,12,4,26,3,15,12,123,,,,
Aeschylus,37,0,0,0,0,0,0,0,0,8,0,0,8,,,,
Diodorus,0,23,0,0,0,0,0,2,15,0,1,1,19,,,,
Herodotus,0,0,32,0,0,0,1,1,0,0,1,2,5,,,,
Hesiod,1,0,0,31,4,2,0,0,0,1,0,0,8,,,,
