,Aeschylus,Diodorus,Herodotus,Hesiod,HomerIl,HomerOd,Lysias,Plutarch,Polybius,Sophocles,Thucydides,Xenophon,-SUM-,,,,
Sophocles,0,0,0,0,0,1,0,0,0,35,0,0,1,,,,
Thucydides,0,0,4,0,0,0,1,3,0,0,20,1,9,,,,
Xenophon,0,1,7,0,0,0,5,1,2,0,7,20,23,,,,
-SUM-,1,6,17,1,13,2,10,8,24,9,21,8,120,,,,
Aeschylus,34,0,0,1,0,0,0,0,0,6,0,0,7,,,,
Diodorus,0,20,0,0,0,0,0,2,12,0,1,0,15,,,,
Herodotus,1,1,26,0,0,0,1,0,0,0,0,0,3,,,,
Hesiod,2,0,0,33,4,1,0,0,0,0,0,0,7,,,,
HomerIl,0,0,0,0,41,1,0,0,0,0,0,0,1,,,,
HomerOd,0,0,0,0,7,36,0,0,0,0,0,0,7,,,,
Lysias,0,1,6,0,0,0,29,1,3,0,3,4,18,,,,
Plutarch,0,2,5,0,0,0,1,20,10,0,3,1,22,,,,
Polybius,0,1,0,0,0,0,0,1,31,0,0,0,2,,,,
Sophocles,4,0,0,0,0,0,0,0,0,42,0,0,4,,,,
Thucydides,0,0,1,0,0,0,2,2,5,0,15,2,12,,,,
Xenophon,0,1,7,0,0,0,2,1,3,0,5,16,19,,,,
-SUM-,7,6,19,1,11,2,6,7,33,6,12,7,117,,,,
Aeschylus,31,0,0,0,1,0,0,0,0,4,0,0,5,,,,
Diodorus,0,27,2,0,0,0,0,1,10,0,1,0,14,,,,
Herodotus,0,0,25,0,0,0,1,1,1,0,3,3,9,,,,
Hesiod,4,0,0,26,7,1,0,0,0,1,0,0,13,,,,
HomerIl,0,0,0,0,50,5,0,0,0,0,0,0,5,,,,
HomerOd,1,0,0,0,6,37,0,0,0,0,0,0,7,,,,
Lysias,0,0,2,0,0,0,21,0,3,0,1,3,9,,,,
Plutarch,0,0,4,0,0,0,1,21,9,0,2,0,16,,,,
Polybius,0,3,0,0,0,0,0,0,34,0,0,1,4,,,,
Sophocles,3,0,0,0,0,0,0,0,0,29,0,0,3,,,,
Thucydides,0,1,7,0,0,0,2,1,1,0,20,4,16,,,,
Xenophon,0,3,3,0,0,0,8,5,5,0,3,11,27,,,,
-SUM-,8,7,18,0,14,6,12,8,29,5,10,11,128,,,,
Aeschylus,36,0,0,1,0,1,0,0,0,2,0,0,4,,,,
Diodorus,0,20,1,0,0,0,0,2,11,0,0,1,15,,,,
Herodotus,0,0,22,0,0,0,1,0,4,0,7,2,14,,,,
Hesiod,2,0,0,24,4,1,0,0,0,0,0,0,7,,,,
HomerIl,0,0,0,0,34,4,0,0,0,0,0,0,4,,,,
HomerOd,0,0,0,1,4,41,0,0,0,0,0,0,5,,,,
Lysias,0,0,2,0,0,0,20,0,1,0,3,2,8,,,,
Plutarch,0,2,2,0,0,0,1,17,5,0,3,2,15,,,,
Polybius,0,4,0,0,0,0,1,0,37,0,0,0,5,,,,
Sophocles,3,0,0,1,0,0,1,0,0,42,0,0,5,,,,
Thucydides,0,3,3,0,0,0,2,3,6,0,23,2,19,,,,
Xenophon,0,4,6,0,0,0,6,0,3,0,3,21,22,,,,
-SUM-,5,13,14,3,8,6,12,5,30,2,16,9,123,,,,
Aeschylus,29,0,0,0,0,1,0,0,0,7,0,0,8,,,,
Diodorus,0,20,1,0,0,0,0,0,10,0,0,1,12,,,,
Herodotus,0,3,24,0,0,0,3,2,1,0,3,5,17,,,,
Hesiod,0,0,1,26,6,4,0,0,0,0,0,0,11,,,,
HomerIl,0,0,0,0,47,4,0,0,0,0,0,0,4,,,,
HomerOd,0,0,0,0,8,37,0,0,0,0,0,0,8,,,,
Lysias,0,0,2,0,0,0,23,0,1,0,3,3,9,,,,
Plutarch,0,4,1,0,0,0,1,19,6,0,1,1,14,,,,
Polybius,0,5,1,0,0,0,1,2,27,0,0,0,9,,,,
Sophocles,2,0,0,0,0,0,0,0,0,41,0,0,2,,,,
Thucydides,0,0,13,0,0,0,3,2,5,0,14,0,23,,,,
Xenophon,0,2,6,0,0,0,2,3,6,0,3,14,22,,,,
-SUM-,2,14,25,0,14,9,10,9,29,7,10,10,139,,,,
Aeschylus,39,0,0,0,0,0,0,0,0,3,0,0,3,,,,
Diodorus,0,22,1,0,0,0,0,2,7,0,1,0,11,,,,
Herodotus,0,1,25,0,0,0,1,0,1,0,6,3,12,,,,
Hesiod,1,0,0,24,5,0,0,0,0,0,0,0,6,,,,
HomerIl,0,0,0,0,45,2,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,0,6,53,0,0,0,0,0,0,6,,,,
Lysias,0,0,2,0,0,0,19,0,4,0,4,1,11,,,,
Plutarch,0,0,4,0,0,0,1,13,4,0,1,2,12,,,,
Polybius,0,6,0,0,0,0,0,1,41,0,0,0,7,,,,
Sophocles,3,0,0,0,1,0,0,0,0,29,0,0,4,,,,
Thucydides,0,1,7,0,0,0,2,4,4,0,20,2,20,,,,
Xenophon,0,1,5,0,0,0,1,1,4,0,2,22,14,,,,
-SUM-,4,9,19,0,12,2,5,8,24,3,14,8,108,,,,
Aeschylus,34,0,0,0,0,0,0,0,0,2,0,0,2,,,,
Diodorus,0,19,0,0,0,0,1,1,10,0,1,0,13,,,,
Herodotus,0,1,29,0,0,0,2,0,3,0,5,2,13,,,,
Hesiod,1,0,0,27,1,1,0,0,0,1,0,0,4,,,,
HomerIl,0,0,0,0,31,6,0,0,0,0,0,0,6,,,,
HomerOd,0,0,0,2,6,37,0,0,0,0,0,0,8,,,,
Lysias,0,0,5,0,0,0,21,1,3,0,2,2,13,,,,
Plutarch,0,1,4,0,0,0,0,17,8,0,2,1,16,,,,
Polybius,1,1,0,0,0,0,0,3,38,0,0,1,6,,,,
Sophocles,7,0,0,1,0,0,0,0,0,40,0,0,8,,,,
Thucydides,0,1,4,0,0,0,4,4,5,0,19,2,20,,,,
Xenophon,0,3,10,0,0,0,3,1,4,0,3,15,24,,,,
-SUM-,9,7,23,3,7,7,10,10,33,3,13,8,133,,,,
Aeschylus,34,0,0,0,0,0,0,0,0,6,0,0,6,,,,
Diodorus,0,24,1,0,0,0,0,3,10,0,2,0,16,,,,
Herodotus,0,0,22,0,0,0,3,1,4,0,3,2,13,,,,
Hesiod,2,0,0,30,2,4,0,0,0,2,0,0,10,,,,
HomerIl,0,0,0,0,42,0,0,0,0,0,0,0,0,,,,
HomerOd,0,0,0,0,6,32,0,0,0,0,0,0,6,,,,
Lysias,0,1,6,0,0,0,19,0,2,0,2,1,12,,,,
Plutarch,0,2,3,0,0,0,0,18,7,0,2,3,17,,,,
Polybius,0,2,1,0,0,0,0,1,30,0,0,0,4,,,,
Sophocles,4,0,0,0,0,0,0,0,0,38,0,0,4,,,,
Thucydides,0,0,4,0,0,0,7,3,4,0,21,2,20,,,,
Xenophon,0,2,6,0,0,0,5,4,2,0,6,17,25,,,,
-SUM-,6,7,21,0,8,4,15,12,29,8,15,8,133,,,,
Aeschylus,38,0,0,0,0,1,0,0,0,0,0,0,1,,,,
Diodorus,0,26,0,0,0,0,0,0,16,0,1,0,17,,,,
Herodotus,0,1,23,0,0,0,1,1,1,0,8,3,15,,,,
Hesiod,0,0,1,25,7,3,0,0,0,1,0,0,12,,,,
HomerIl,0,0,0,0,33,2,0,0,0,0,0,0,2,,,,
HomerOd,1,0,0,1,7,31,0,0,0,0,0,0,9,,,,
Lysias,0,0,4,0,0,0,27,0,1,0,2,0,7,,,,
Plutarch,0,0,2,0,0,0,1,19,8,0,3,2,16,,,,
Polybius,0,6,2,0,0,0,0,1,35,0,0,0,9,,,,
Sophocles,1,0,0,0,0,1,0,0,0,33,0,0,2,,,,
Thucydides,0,2,6,0,0,0,1,4,4,0,25,2,19,,,,
Xenophon,0,4,4,0,0,0,3,0,3,0,5,17,19,,,,
-SUM-,2,13,19,1,14,7,6,6,33,1,19,7,128,,,,
Aeschylus,27,0,0,0,0,0,0,0,0,1,0,0,1,,,,
Diodorus,0,19,0,0,0,0,0,1,12,0,0,1,14,,,,
Herodotus,0,0,32,0,0,0,0,1,2,0,4,2,9,,,,
Hesiod,3,0,0,24,5,4,0,0,0,3,0,0,15,,,,
HomerIl,0,0,0,0,34,3,0,0,0,0,0,0,3,,,,
HomerOd,1,0,0,0,5,38,0,0,0,0,0,0,6,,,,
Lysias,0,0,2,0,0,0,23,0,1,0,4,5,12,,,,
Plutarch,0,2,4,0,0,0,1,20,5,0,0,3,15,,,,
Polybius,0,4,0,0,0,0,0,1,35,0,0,0,5,,,,
Sophocles,4,0,0,0,3,0,0,0,0,40,0,0,7,,,,
Thucydides,0,1,8,0,0,0,5,2,6,0,18,2,24,,,,
Xenophon,0,2,4,0,0,0,3,1,5,0,5,19,20,,,,
-SUM-,8,9,18,0,13,7,9,6,31,4,13,13,131,,,,
Aeschylus,36,0,0,1,0,0,0,0,0,3,0,0,4,,,,
Diodorus,0,29,1,0,0,0,0,1,8,0,1,0,11,,,,
Herodotus,0,1,24,0,0,0,2,3,0,0,2,2,10,,,,
Hesiod,5,0,0,27,4,2,0,0,0,1,0,0,12,,,,
HomerIl,0,0,0,1,55,1,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,0,1,28,0,0,0,0,0,0,1,,,,
Lysias,0,0,5,0,0,0,22,0,2,0,5,2,14,,,,
Plutarch,0,2,2,0,0,0,0,21,11,0,2,1,18,,,,
Polybius,0,1,0,0,0,0,0,0,31,0,2,0,3,,,,
Sophocles,7,0,0,1,1,0,0,0,0,23,0,0,9,,,,
Thucydides,0,1,9,0,0,0,3,1,4,0,16,0,18,,,,
Xenophon,0,2,4,0,0,0,4,1,3,0,3,29,17,,,,
-SUM-,12,7,21,3,6,3,9,6,28,4,15,5,119,,,,
Aeschylus,29,0,0,0,0,0,0,0,0,4,0,0,4,,,,
Diodorus,0,26,0,0,0,0,0,1,12,0,0,0,13,,,,
Herodotus,1,2,29,0,0,0,2,1,2,0,5,3,16,,,,
Hesiod,4,0,0,28,1,0,0,0,0,1,0,0,6,,,,
HomerIl,0,0,0,1,36,2,0,0,0,0,0,0,3,,,,
HomerOd,1,0,0,0,6,41,0,0,0,0,0,0,7,,,,
Lysias,0,0,4,0,0,0,25,0,1,0,2,1,8,,,,
Plutarch,0,2,1,0,0,0,1,22,5,0,5,2,16,,,,
Polybius,0,2,0,0,0,0,0,2,35,0,0,0,4,,,,
Sophocles,5,0,0,0,0,0,0,0,0,36,0,0,5,,,,
Thucydides,0,0,5,0,0,0,1,3,2,0,20,3,14,,,,
Xenophon,0,3,4,0,0,0,6,1,3,0,3,17,20,,,,
-SUM-,11,9,14,1,7,2,10,8,25,5,15,9,116,,,,
Aeschylus,34,0,0,0,0,0,0,0,0,4,0,0,4,,,,
Diodorus,0,26,1,0,0,0,0,1,13,0,0,0,15,,,,
Herodotus,0,0,24,0,0,0,4,1,1,0,3,2,11,,,,
Hesiod,1,0,0,23,4,2,0,0,0,1,0,0,8,,,,
HomerIl,0,0,0,1,41,1,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,0,2,35,0,0,0,0,0,0,2,,,,
Lysias,0,0,6,0,0,0,25,1,1,0,2,1,11,,,,
Plutarch,0,3,1,0,0,0,0,24,6,0,5,0,15,,,,
Polybius,0,3,1,0,0,0,0,1,39,0,1,0,6,,,,
Sophocles,7,0,0,0,0,1,0,0,0,32,0,0,8,,,,
Thucydides,0,1,8,0,0,0,3,2,4,0,23,3,21,,,,
Xenophon,0,3,3,0,0,0,6,1,3,0,3,12,19,,,,
-SUM-,8,10,20,1,6,4,13,7,28,5,14,6,122,,,,
Aeschylus,26,0,0,0,0,0,0,0,0,2,0,0,2,,,,
Diodorus,0,22,0,0,0,0,0,0,12,0,1,0,13,,,,
Herodotus,0,2,20,0,0,0,1,3,3,0,4,2,15,,,,
Hesiod,1,0,0,29,5,2,0,0,0,1,0,0,9,,,,
HomerIl,0,0,0,0,46,1,0,0,0,0,0,0,1,,,,
HomerOd,0,0,0,0,6,35,0,0,0,0,0,0,6,,,,
Lysias,0,0,4,0,0,0,29,1,1,0,1,1,8,,,,
Plutarch,0,1,2,0,0,0,2,18,8,0,2,2,17,,,,
Polybius,0,0,1,0,0,0,0,2,44,0,0,1,4,,,,
Sophocles,6,0,0,0,0,0,0,0,0,31,0,0,6,,,,
Thucydides,0,3,3,0,0,0,6,6,7,0,13,2,27,,,,
Xenophon,0,2,9,0,0,0,3,1,3,0,8,13,26,,,,
-SUM-,7,8,19,0,11,3,12,13,34,3,16,8,134,,,,
Aeschylus,37,0,0,0,0,0,0,0,0,6,0,0,6,,,,
Diodorus,0,28,1,0,0,0,0,1,11,0,0,0,13,,,,
Herodotus,0,0,33,0,0,0,4,1,0,0,3,3,11,,,,
Hesiod,1,0,0,29,3,3,0,0,0,1,0,0,8,,,,
HomerIl,0,0,0,1,32,3,0,0,0,0,0,0,4,,,,
HomerOd,0,0,0,0,6,33,0,0,0,0,0,0,6,,,,
Lysias,0,0,8,0,0,0,18,0,2,0,3,3,16,,,,
Plutarch,0,0,6,0,0,0,1,20,8,0,3,2,20,,,,
Polybius,0,3,0,0,0,0,0,0,25,0,0,0,3,,,,
Sophocles,7,0,0,1,3,0,0,0,0,32,0,0,11,,,,
Thucydides,0,4,3,0,0,0,1,5,5,0,9,3,21,,,,
Xenophon,0,1,7,0,0,0,7,1,3,0,8,18,27,,,,
-SUM-,8,8,25,2,12,6,13,8,29,7,17,11,146,,,,
Aeschylus,30,0,0,0,0,0,0,0,0,5,0,0,5,,,,
Diodorus,0,20,1,0,0,0,0,1,12,0,1,0,15,,,,
Herodotus,0,0,33,0,0,0,0,1,1,0,2,1,5,,,,
Hesiod,0,0,0,38,7,1,0,0,0,3,0,0,11,,,,
HomerIl,0,0,0,0,34,2,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,1,5,25,0,0,0,0,0,0,6,,,,
Lysias,0,0,4,0,0,0,21,0,0,0,2,0,6,,,,
Plutarch,0,2,3,0,0,0,2,22,11,0,1,1,20,,,,
Polybius,0,5,1,0,0,0,0,1,35,0,0,0,7,,,,
Sophocles,3,0,0,0,0,1,0,0,0,46,0,0,4,,,,
Thucydides,0,1,4,0,0,0,4,3,7,0,23,3,22,,,,
Xenophon,0,1,5,0,0,0,4,2,4,0,4,10,20,,,,
-SUM-,3,9,18,1,12,4,10,8,35,8,10,5,123,,,,
Aeschylus,38,0,0,0,0,0,0,0,0,4,0,0,4,,,,
Diodorus,0,24,0,0,0,0,0,3,7,0,0,0,10,,,,
Herodotus,0,0,25,0,0,0,1,1,0,0,5,6,13,,,,
Hesiod,0,0,0,35,1,1,0,0,0,1,0,0,3,,,,
HomerIl,0,0,0,0,45,2,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,0,2,44,0,0,0,0,0,0,2,,,,
Lysias,0,1,7,0,0,0,34,0,0,0,2,1,11,,,,
Plutarch,0,2,3,0,0,0,2,16,5,0,3,1,16,,,,
Polybius,0,4,1,0,0,0,0,1,24,0,0,1,7,,,,
Sophocles,2,0,0,0,3,0,0,0,0,27,0,0,5,,,,
Thucydides,0,1,5,0,0,0,4,1,1,0,20,2,14,,,,
Xenophon,0,5,5,0,0,0,6,1,3,0,5,16,25,,,,
-SUM-,2,13,21,0,6,3,13,7,16,5,15,11,112,,,,
Aeschylus,34,0,0,0,0,0,0,0,0,6,0,0,6,,,,
Diodorus,0,24,0,0,0,0,0,0,11,0,4,0,15,,,,
Herodotus,0,1,22,0,0,0,1,1,1,0,6,2,12,,,,
Hesiod,0,0,0,26,3,3,0,0,0,1,0,0,7,,,,
HomerIl,0,0,0,2,33,0,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,0,3,38,0,0,0,0,0,0,3,,,,
Lysias,0,0,1,0,0,0,29,0,2,0,3,5,11,,,,
Plutarch,0,1,1,0,0,0,1,19,7,0,5,3,18,,,,
Polybius,0,8,1,0,0,0,2,2,32,0,0,0,13,,,,
Sophocles,2,0,0,0,1,2,0,0,0,27,0,0,5,,,,
Thucydides,0,3,4,0,0,0,4,3,5,0,22,1,20,,,,
Xenophon,0,3,3,0,0,0,5,1,3,0,2,25,17,,,,
-SUM-,2,16,10,2,7,5,13,7,29,7,20,11,129,,,,
Aeschylus,30,0,0,0,0,0,0,0,0,3,0,0,3,,,,
Diodorus,0,23,1,0,0,0,1,0,12,0,1,1,16,,,,
Herodotus,1,1,23,0,0,0,1,0,1,0,3,1,8,,,,
Hesiod,2,0,0,24,6,2,0,0,0,2,0,0,12,,,,
HomerIl,0,0,0,0,40,3,0,0,0,0,0,0,3,,,,
HomerOd,0,0,0,0,6,50,0,0,0,0,0,0,6,,,,
Lysias,0,0,4,0,0,0,25,0,1,0,6,1,12,,,,
Plutarch,0,2,1,0,0,0,0,22,8,0,3,1,15,,,,
Polybius,0,2,1,0,0,0,0,0,41,0,0,0,3,,,,
Sophocles,6,0,0,0,1,1,0,0,0,32,0,0,8,,,,
Thucydides,0,1,9,0,0,0,3,1,2,0,19,3,19,,,,
Xenophon,0,1,4,0,0,0,3,0,5,0,1,12,14,,,,
-SUM-,9,7,20,0,13,6,8,1,29,5,14,7,119,,,,
Aeschylus,43,0,0,0,0,0,0,0,0,3,0,0,3,,,,
Diodorus,0,16,1,0,0,0,0,0,12,0,0,0,13,,,,
Herodotus,0,2,23,0,0,0,2,1,1,0,6,3,15,,,,
Hesiod,0,0,0,19,2,2,0,0,0,0,0,0,4,,,,
HomerIl,0,0,0,0,39,0,0,0,0,0,0,0,0,,,,
HomerOd,0,0,0,0,6,43,0,0,0,0,0,0,6,,,,
Lysias,0,0,2,0,0,0,30,0,2,0,3,0,7,,,,
Plutarch,0,1,3,0,0,0,0,24,7,0,5,1,17,,,,
Polybius,0,4,0,0,0,0,0,0,47,0,1,0,5,,,,
Sophocles,4,0,0,1,2,0,0,0,0,36,0,0,7,,,,
Thucydides,0,0,3,0,0,0,2,0,2,0,19,2,9,,,,
Xenophon,0,5,1,0,0,0,6,0,3,0,2,18,17,,,,
-SUM-,4,12,10,1,10,2,10,1,27,3,17,6,103,,,,
Aeschylus,31,0,0,0,1,0,0,0,0,4,0,0,5,,,,
Diodorus,0,26,0,0,0,0,0,0,14,0,1,0,15,,,,
Herodotus,0,1,25,0,0,0,0,0,2,0,4,3,10,,,,
Hesiod,1,0,0,26,2,2,0,0,0,1,0,0,6,,,,
HomerIl,0,0,0,2,31,1,0,0,0,0,0,0,3,,,,
HomerOd,0,0,0,0,4,42,0,0,0,0,0,0,4,,,,
Lysias,0,0,8,0,0,0,25,0,2,0,2,3,15,,,,
Plutarch,0,1,2,0,0,0,0,19,12,0,2,1,18,,,,
Polybius,0,3,1,0,0,0,0,1,36,0,3,0,8,,,,
Sophocles,2,0,0,0,1,0,0,0,1,36,0,0,4,,,,
Thucydides,0,0,7,0,0,0,1,4,1,0,17,1,14,,,,
Xenophon,0,1,3,0,0,0,7,2,6,0,4,21,23,,,,
-SUM-,3,6,21,2,8,3,8,7,38,5,16,8,125,,,,
Aeschylus,43,0,0,0,0,0,0,0,0,4,0,0,4,,,,
Diodorus,0,18,0,0,0,0,0,3,12,0,1,0,16,,,,
Herodotus,0,3,24,0,0,0,1,0,2,0,3,2,11,,,,
Hesiod,0,0,1,31,4,2,0,0,0,0,0,0,7,,,,
HomerIl,0,0,0,0,32,3,0,0,0,0,0,0,3,,,,
HomerOd,0,0,0,0,5,32,0,0,0,0,0,0,5,,,,
Lysias,0,0,1,0,0,0,39,0,2,0,3,2,8,,,,
Plutarch,0,3,5,0,0,0,3,18,6,0,6,3,26,,,,
Polybius,0,1,1,0,0,0,0,2,34,0,0,0,4,,,,
Sophocles,4,0,0,1,2,0,0,0,0,34,0,0,7,,,,
Thucydides,0,3,7,0,0,0,5,3,4,0,13,0,22,,,,
Xenophon,0,3,5,0,0,0,2,1,1,0,2,15,14,,,,
-SUM-,4,13,20,1,11,5,11,9,27,4,15,7,127,,,,
Aeschylus,33,0,0,0,1,1,0,0,0,3,0,0,5,,,,
Diodorus,0,26,1,0,0,0,0,1,9,0,1,0,12,,,,
Herodotus,0,1,28,0,0,0,0,1,1,0,4,1,8,,,,
Hesiod,4,0,0,28,7,5,0,0,0,0,0,0,16,,,,
HomerIl,0,0,0,1,42,1,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,1,4,39,0,0,0,0,0,0,5,,,,
Lysias,0,0,4,0,0,0,20,1,0,0,3,2,10,,,,
Plutarch,0,3,0,0,0,0,2,19,5,0,0,1,11,,,,
Polybius,0,3,1,0,0,0,1,3,34,0,1,1,10,,,,
Sophocles,4,0,0,1,0,0,0,0,0,32,0,0,5,,,,
Thucydides,0,1,4,0,0,0,6,2,5,0,19,1,19,,,,
Xenophon,0,0,1,0,0,0,6,7,3,0,7,13,24,,,,
-SUM-,8,8,11,3,12,7,15,15,23,3,16,6,127,,,,
Aeschylus,34,0,0,0,0,0,0,0,0,7,0,0,7,,,,
Diodorus,0,19,2,0,0,0,0,0,23,0,0,0,25,,,,
Herodotus,0,1,37,0,0,0,3,1,1,0,6,1,13,,,,
Hesiod,1,0,0,26,7,4,0,0,0,1,0,0,13,,,,
HomerIl,0,0,0,1,31,4,0,0,0,0,0,0,5,,,,
HomerOd,0,0,0,0,4,29,0,0,0,0,0,0,4,,,,
Lysias,0,0,5,0,0,0,26,1,0,0,3,1,10,,,,
Plutarch,0,0,3,0,0,0,2,16,11,0,2,1,19,,,,
Polybius,0,3,2,0,0,0,1,1,23,0,1,1,9,,,,
Sophocles,7,0,0,0,0,0,0,0,1,36,0,0,8,,,,
Thucydides,0,0,4,0,0,0,1,0,1,0,24,3,9,,,,
Xenophon,0,1,7,0,0,0,5,3,4,0,5,12,25,,,,
-SUM-,8,5,23,1,11,8,12,6,41,8,17,7,147,,,,
Aeschylus,24,0,0,0,0,0,0,0,0,2,0,0,2,,,,
Diodorus,0,24,0,0,0,0,0,0,20,0,0,1,21,,,,
Herodotus,0,1,29,0,0,0,1,0,4,0,1,5,12,,,,
Hesiod,2,0,0,26,7,0,0,0,0,1,0,0,10,,,,
HomerIl,0,0,0,0,30,1,0,0,0,0,0,0,1,,,,
HomerOd,0,0,0,0,7,43,0,0,0,0,0,0,7,,,,
Lysias,0,1,3,0,0,0,25,0,1,0,4,4,13,,,,
Plutarch,0,2,2,0,0,0,0,17,5,0,0,2,11,,,,
Polybius,0,1,0,0,0,0,0,1,43,0,1,1,4,,,,
Sophocles,2,0,0,0,0,0,0,0,0,33,0,0,2,,,,
Thucydides,0,0,4,0,0,0,1,2,4,0,36,1,12,,,,
Xenophon,0,1,6,0,0,0,2,4,4,0,3,15,20,,,,
-SUM-,4,6,15,0,14,1,4,7,38,3,9,14,115,,,,
Aeschylus,21,0,0,0,0,0,0,0,0,1,0,0,1,,,,
Diodorus,0,28,0,0,0,0,0,1,12,0,0,0,13,,,,
Herodotus,0,4,30,0,0,0,1,0,1,0,3,3,12,,,,
Hesiod,2,0,0,20,7,1,0,0,0,0,0,0,10,,,,
HomerIl,0,0,0,0,44,1,0,0,0,0,0,0,1,,,,
HomerOd,0,0,0,0,5,38,0,0,0,0,0,0,5,,,,
Lysias,0,1,3,0,0,0,26,0,1,0,4,4,13,,,,
Plutarch,0,1,1,0,0,0,0,27,9,0,3,3,17,,,,
Polybius,0,1,2,0,0,0,0,5,28,0,1,0,9,,,,
Sophocles,5,0,0,0,0,0,0,0,0,49,0,0,5,,,,
Thucydides,0,2,3,0,0,0,2,0,3,0,17,0,10,,,,
Xenophon,0,1,3,0,0,0,2,2,4,0,6,18,18,,,,
-SUM-,7,10,12,0,12,2,5,8,30,1,17,10,114,,,,
Aeschylus,42,0,0,0,0,0,0,0,0,8,0,0,8,,,,
Diodorus,0,24,1,0,0,0,0,0,12,0,0,0,13,,,,
Herodotus,1,0,30,0,0,0,0,1,2,0,2,3,9,,,,
Hesiod,1,0,0,39,5,2,0,0,0,0,0,0,8,,,,
HomerIl,0,0,0,2,27,4,0,0,0,0,0,0,6,,,,
HomerOd,0,0,0,0,5,28,0,0,0,0,0,0,5,,,,
Lysias,0,0,4,0,0,0,25,0,3,0,2,3,12,,,,
Plutarch,0,4,4,0,0,0,0,20,7,0,5,0,20,,,,
Polybius,0,5,1,0,0,0,0,1,29,0,0,0,7,,,,
Sophocles,3,0,0,0,0,0,0,0,0,30,0,0,3,,,,
Thucydides,0,0,8,0,0,0,1,1,5,0,25,3,18,,,,
Xenophon,0,1,8,0,0,0,3,0,3,0,3,14,18,,,,
-SUM-,5,10,26,2,10,6,4,3,32,8,12,9,127,,,,
Aeschylus,36,0,0,0,0,0,0,0,0,9,0,0,9,,,,
Diodorus,0,26,0,0,0,0,0,3,7,0,0,0,10,,,,
Herodotus,0,2,28,0,0,0,5,0,0,0,2,3,12,,,,
Hesiod,2,0,0,24,2,3,0,0,0,1,0,0,8,,,,
HomerIl,0,0,0,1,38,3,0,0,0,0,0,0,4,,,,
HomerOd,1,0,0,0,11,32,0,0,0,0,0,0,12,,,,
Lysias,0,0,4,0,0,0,26,0,2,0,4,2,12,,,,
Plutarch,0,0,1,0,0,0,2,20,7,0,3,1,14,,,,
Polybius,0,2,0,0,0,0,1,4,34,0,0,0,7,,,,
Sophocles,1,0,0,0,0,0,0,0,0,43,0,0,1,,,,
Thucydides,0,1,10,0,0,0,3,4,2,0,12,2,22,,,,
Xenophon,0,1,4,0,0,0,3,1,3,0,3,15,15,,,,
-SUM-,4,6,19,1,13,6,14,12,21,10,12,8,126,,,,
Aeschylus,34,0,0,1,0,0,0,0,0,3,0,0,4,,,,
Diodorus,0,22,3,0,0,0,0,1,16,0,1,0,21,,,,
Herodotus,1,0,32,0,0,0,4,1,0,0,1,3,10,,,,
Hesiod,1,0,0,21,7,3,0,0,0,1,0,0,12,,,,
HomerIl,0,0,0,0,40,2,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,1,6,39,0,0,0,0,0,0,7,,,,
Lysias,0,0,4,0,0,0,21,0,2,0,0,1,7,,,,
Plutarch,0,1,6,0,0,0,1,29,7,0,0,2,17,,,,
Polybius,0,0,0,0,0,0,0,1,29,0,3,0,4,,,,
Sophocles,2,0,0,0,0,0,0,0,0,40,0,0,2,,,,
Thucydides,0,3,4,0,0,0,2,0,5,0,16,2,16,,,,
Xenophon,0,0,7,0,0,0,4,1,4,0,3,16,19,,,,
-SUM-,4,4,24,2,13,5,11,4,34,4,8,8,121,,,,
Aeschylus,37,0,0,1,0,0,0,0,0,5,0,0,6,,,,
Diodorus,0,31,1,0,0,0,0,2,6,0,1,0,10,,,,
Herodotus,0,1,27,0,0,0,1,0,0,0,5,4,11,,,,
Hesiod,3,0,0,25,7,4,0,0,0,1,0,0,15,,,,
HomerIl,0,0,0,0,43,2,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,0,5,33,0,0,0,0,0,0,5,,,,
Lysias,0,0,3,0,0,0,24,1,0,0,6,3,13,,,,
Plutarch,0,0,1,0,0,0,1,23,9,0,2,1,14,,,,
Polybius,0,4,1,0,0,0,0,0,26,0,1,0,6,,,,
Sophocles,5,0,0,0,0,0,0,0,0,35,0,0,5,,,,
Thucydides,0,1,4,0,0,0,3,5,3,0,11,4,20,,,,
Xenophon,0,2,7,0,0,0,3,0,4,0,4,18,20,,,,
-SUM-,8,8,17,1,12,6,8,8,22,6,19,12,127,,,,
Aeschylus,36,0,0,0,1,0,0,0,0,3,0,0,4,,,,
Diodorus,0,23,1,0,0,0,0,1,7,0,0,0,9,,,,
Herodotus,1,3,23,0,0,0,2,2,3,0,4,4,19,,,,
Hesiod,2,0,0,27,4,6,0,0,0,0,0,0,12,,,,
HomerIl,0,0,0,0,37,3,0,0,0,0,0,0,3,,,,
HomerOd,0,0,0,1,7,34,0,0,0,0,0,0,8,,,,
