"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIL","HomerOd","Lysias","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Plutarch",1,6,16,0,0,0,2,39,39,1,7,3,75
"Polybius",0,14,7,0,0,0,5,2,74,0,5,2,35
"Sophocles",26,0,1,2,4,3,0,0,0,94,0,0,36
"Thucydides",0,6,26,0,0,2,16,11,21,0,37,6,88
"Xenophon",0,12,21,0,0,0,14,2,18,0,12,29,79
"-SUM-",42,43,91,9,64,40,47,30,160,36,48,38,648
"Aeschylus",88,0,0,3,3,2,0,0,1,25,0,0,34
"Diodorus",0,58,9,0,0,0,1,5,50,0,3,3,71
"Herodotus",1,5,68,0,0,0,10,10,15,1,10,13,65
"Hesiod",13,0,0,65,20,16,0,0,0,8,0,0,57
"HomerIL",3,0,0,2,92,17,0,0,0,2,0,0,24
"HomerOd",1,0,1,3,28,78,0,0,0,0,0,0,33
"Lysias",0,6,16,0,1,0,46,6,22,3,7,15,76
"Plutarch",0,9,14,1,0,0,3,34,35,1,18,5,86
"Polybius",0,10,7,0,0,0,4,8,84,0,4,2,35
"Sophocles",19,0,3,0,4,4,1,0,1,93,0,0,32
"Thucydides",0,3,11,0,0,1,15,7,24,0,30,10,71
"Xenophon",0,6,13,0,1,0,19,7,18,1,12,38,77
"-SUM-",37,39,74,9,57,40,53,43,166,41,54,48,661
"Aeschylus",79,0,0,5,1,3,0,0,0,20,0,0,29
"Diodorus",0,48,4,0,1,0,3,6,53,0,1,1,69
"Herodotus",4,8,69,0,0,0,5,6,18,2,16,5,64
"Hesiod",12,0,0,50,16,13,0,0,0,9,0,0,50
"HomerIL",2,0,0,8,104,14,0,0,0,1,0,0,25
"HomerOd",2,0,0,3,43,102,0,0,0,1,0,0,49
"Lysias",1,2,14,0,0,0,56,4,20,0,8,16,65
"Plutarch",1,11,13,0,0,0,5,33,37,2,9,6,84
"Polybius",1,11,7,0,0,0,2,8,95,1,3,1,34
"Sophocles",22,0,2,1,5,6,2,0,1,82,0,0,39
"Thucydides",0,5,23,0,0,1,10,6,22,0,24,11,78
"Xenophon",0,6,15,0,0,0,20,3,17,0,13,33,74
"-SUM-",45,43,78,17,66,37,47,33,168,36,50,40,660
"Aeschylus",96,0,0,1,2,2,1,0,0,38,0,0,44
"Diodorus",0,50,8,0,0,0,2,8,53,0,2,2,75
"Herodotus",0,3,55,0,2,0,9,4,13,0,12,11,54
"Hesiod",9,0,0,49,22,13,0,0,0,5,0,0,49
"HomerIL",3,0,0,3,109,21,0,0,0,1,0,0,28
"HomerOd",4,0,0,3,36,84,0,0,0,0,0,0,43
"Lysias",1,9,11,0,0,0,54,5,24,1,9,13,73
"Plutarch",0,12,9,0,0,0,9,40,31,1,6,3,71
"Polybius",0,13,6,0,1,0,3,5,91,0,4,4,36
"Sophocles",21,0,2,1,7,1,3,0,1,89,0,1,37
"Thucydides",0,7,23,0,0,1,12,11,30,0,33,7,91
"Xenophon",1,5,11,0,1,0,13,4,16,1,10,22,62
"-SUM-",39,49,70,8,71,38,52,37,168,47,43,41,663
"Aeschylus",79,0,1,2,2,5,0,0,0,26,0,0,36
"Diodorus",0,45,6,0,1,0,1,3,51,0,6,3,71
"Herodotus",1,7,59,0,1,0,11,8,17,2,7,10,64
"Hesiod",11,0,0,47,19,18,0,0,0,7,0,0,55
"HomerIL",3,0,0,3,121,10,0,0,0,2,0,0,18
"HomerOd",4,0,0,3,28,88,0,0,0,0,0,0,35
"Lysias",0,4,8,0,0,0,47,7,12,2,11,14,58
"Plutarch",2,7,11,0,1,0,2,40,38,0,6,8,75
"Polybius",0,17,3,0,0,0,1,3,99,0,3,1,28
"Sophocles",26,0,0,2,1,5,0,1,0,101,0,0,35
"Thucydides",0,5,16,1,0,0,8,13,25,0,43,4,72
"Xenophon",0,7,15,0,0,0,18,5,21,2,18,33,86
"-SUM-",47,47,60,11,53,38,41,40,164,41,51,40,633
"Aeschylus",84,0,2,1,7,4,0,0,0,20,0,0,34
"Diodorus",0,38,11,0,0,0,1,5,37,0,3,4,61
"Herodotus",2,6,50,1,1,0,9,7,9,0,13,16,64
"Hesiod",11,0,0,52,23,17,0,0,0,6,0,0,57
"HomerIL",1,0,1,2,110,12,0,0,0,1,0,0,17
"HomerOd",1,0,0,1,43,81,0,0,0,3,0,0,48
"Lysias",0,3,18,0,0,0,49,6,19,5,6,17,74
"Plutarch",1,14,12,0,0,0,1,44,29,0,4,3,64
"Polybius",0,10,5,0,0,0,3,3,111,0,3,0,24
"Sophocles",23,0,1,1,3,1,0,0,0,79,0,0,29
"Thucydides",0,9,33,0,0,1,9,4,29,1,38,7,93
"Xenophon",2,2,23,0,1,1,16,8,23,0,14,44,90
"-SUM-",41,44,106,6,78,36,39,33,146,36,43,47,655
"Aeschylus",86,0,1,1,3,4,0,0,0,16,0,0,25
"Diodorus",0,48,5,0,0,0,2,2,51,0,1,1,62
"Herodotus",2,13,59,1,0,1,8,5,19,0,10,11,70
"Hesiod",13,0,0,40,24,10,0,0,0,15,0,0,62
"HomerIL",1,0,0,2,103,13,0,0,0,1,0,0,17
"HomerOd",1,0,0,6,36,90,0,0,0,1,0,0,44
"Lysias",0,2,14,0,0,0,53,5,21,2,10,11,65
"Plutarch",0,8,17,0,0,0,5,41,28,0,12,5,75
"Polybius",0,17,6,0,0,0,2,3,96,0,4,4,36
"Sophocles",27,1,1,3,4,3,1,0,0,90,1,3,44
"Thucydides",0,7,19,0,0,1,9,8,16,1,41,7,68
"Xenophon",0,10,14,0,0,0,26,6,22,0,6,36,84
"-SUM-",44,58,77,13,67,32,53,29,157,36,44,42,652
"Aeschylus",82,0,2,2,5,8,0,0,1,26,0,0,44
"Diodorus",0,51,9,0,0,1,1,4,55,0,5,0,75
"Herodotus",2,5,50,0,0,0,9,8,16,0,5,16,61
"Hesiod",13,0,1,69,29,12,0,0,0,5,0,0,60
"HomerIL",2,0,0,3,101,12,0,0,0,0,0,0,17
"HomerOd",0,0,0,4,38,69,0,0,0,1,0,0,43
"Lysias",0,6,16,0,0,0,48,5,18,0,8,10,63
"Plutarch",2,8,17,0,0,0,5,34,36,1,8,5,82
"Polybius",1,9,5,0,0,0,5,5,107,0,7,1,33
"Sophocles",20,0,0,3,7,3,0,0,1,77,0,0,34
"Thucydides",0,13,21,0,0,1,9,8,28,1,37,7,88
"Xenophon",0,4,16,0,0,0,17,4,22,1,8,38,72
"-SUM-",40,45,87,12,79,37,46,34,177,35,41,39,672
"Aeschylus",101,0,1,1,4,2,0,0,0,19,0,0,27
"Diodorus",0,45,5,0,0,0,2,10,59,0,4,5,85
"Herodotus",0,3,57,0,1,1,8,1,19,0,10,7,50
"Hesiod",16,0,0,65,20,11,0,0,0,6,0,0,53
"HomerIL",4,0,0,3,98,16,0,0,0,2,0,0,25
"HomerOd",4,0,0,5,25,84,0,0,0,0,0,0,34
"Lysias",0,4,18,0,0,0,52,4,18,0,10,11,65
"Plutarch",0,5,14,0,0,0,5,35,41,0,5,6,76
"Polybius",0,6,3,0,0,1,2,8,108,0,2,1,23
"Sophocles",21,0,2,3,7,3,0,0,0,71,0,0,36
"Thucydides",0,10,23,0,0,0,8,8,25,0,40,10,84
"Xenophon",0,8,16,0,1,0,20,6,23,0,13,34,87
"-SUM-",45,36,82,12,58,34,45,37,185,27,44,40,645
"Aeschylus",101,0,1,3,6,1,1,0,1,23,0,1,37
"Diodorus",0,37,8,0,0,1,2,6,56,0,1,0,74
"Herodotus",1,5,63,0,2,0,8,6,13,1,11,6,53
"Hesiod",14,0,0,50,21,14,0,0,0,11,0,0,60
"HomerIL",0,0,1,3,96,22,0,0,0,1,0,0,27
"HomerOd",6,0,0,2,29,85,0,0,0,0,0,0,37
"Lysias",0,2,20,0,0,0,51,7,17,0,13,21,80
"Plutarch",0,9,17,0,1,0,4,34,29,2,11,2,75
"Polybius",0,5,4,1,0,0,5,3,103,0,1,1,20
"Sophocles",31,0,0,2,7,2,0,0,1,83,0,0,43
"Thucydides",0,3,15,0,0,1,10,10,18,1,40,10,68
"Xenophon",0,9,20,0,0,0,17,4,19,0,12,37,81
"-SUM-",52,33,86,11,66,41,47,36,154,39,49,41,655
"Aeschylus",91,0,2,2,2,5,0,0,0,27,0,0,38
"Diodorus",0,44,8,0,0,0,1,6,45,0,5,2,67
