"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIl","HomerOd","Lysias","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Herodotus",0,6,45,0,0,0,2,1,5,1,7,2,24
"Hesiod",2,0,0,36,8,8,0,0,0,3,0,1,22
"HomerIl",0,0,0,1,47,10,0,0,0,0,0,0,11
"HomerOd",0,0,0,0,8,56,0,0,0,1,0,0,9
"Lysias",0,0,4,0,0,0,33,3,12,0,7,6,32
"Plutarch",0,5,4,0,0,0,1,32,17,0,4,2,33
"Polybius",0,7,1,0,0,0,0,1,47,1,2,1,13
"Sophocles",10,0,1,2,1,2,0,0,0,54,0,0,16
"Thucydides",0,4,6,0,1,0,5,2,6,0,23,5,29
"Xenophon",0,4,10,0,1,0,10,2,5,0,3,27,35
"-SUM-",12,26,32,4,19,20,18,12,71,13,23,17,267
"Aeschylus",56,0,0,1,0,2,0,0,0,8,0,0,11
"Diodorus",0,28,3,0,0,0,1,2,26,0,2,1,35
"Herodotus",0,4,38,0,0,0,5,3,6,0,6,4,28
"Hesiod",8,0,0,45,10,7,0,0,0,3,0,0,28
"HomerIl",0,0,0,0,66,5,0,0,0,1,0,0,6
"HomerOd",0,0,1,1,9,52,0,0,0,0,0,0,11
"Lysias",0,0,11,0,0,0,27,1,3,0,9,4,28
"Plutarch",0,6,8,0,0,0,2,31,10,0,3,1,30
"Polybius",0,7,1,0,0,0,4,2,62,0,3,0,17
"Sophocles",9,0,0,1,0,1,0,0,1,51,0,0,12
"Thucydides",0,1,13,0,0,0,2,5,6,0,15,5,32
"Xenophon",0,4,9,0,0,0,10,2,5,0,5,21,35
"-SUM-",17,22,46,3,19,15,24,15,57,12,28,15,273
"Aeschylus",48,0,0,2,1,1,0,0,0,6,0,0,10
"Diodorus",0,41,1,0,0,0,1,1,26,0,1,1,31
"Herodotus",0,6,42,0,0,0,4,2,3,0,7,7,29
"Hesiod",3,0,0,34,9,7,0,0,0,0,0,1,20
"HomerIl",0,0,0,1,61,10,0,0,0,0,0,0,11
"HomerOd",0,0,0,2,17,52,0,0,0,2,0,0,21
"Lysias",0,0,8,0,0,0,34,2,4,0,2,7,23
"Plutarch",0,0,6,0,0,0,1,30,13,0,3,3,26
"Polybius",0,6,1,0,0,0,2,1,51,0,1,0,11
"Sophocles",7,0,0,1,0,0,0,0,0,43,0,0,8
"Thucydides",0,1,12,0,0,1,4,7,10,0,28,7,42
"Xenophon",0,3,9,0,0,0,14,1,9,0,7,26,43
"-SUM-",10,16,37,6,27,19,26,14,65,8,21,26,275
"Aeschylus",51,0,0,1,1,2,0,0,0,10,0,0,14
"Diodorus",0,24,4,0,0,0,1,1,26,0,3,0,35
"Herodotus",0,3,30,0,0,0,2,3,6,1,3,7,25
"Hesiod",4,0,0,45,9,7,0,0,0,0,0,0,20
"HomerIl",0,0,0,3,65,6,0,0,0,0,0,0,9
"HomerOd",2,0,0,1,7,51,0,0,0,0,0,0,10
"Lysias",0,1,11,0,0,0,34,1,4,0,6,9,32
"Plutarch",0,2,4,0,0,0,2,33,18,0,5,3,34
"Polybius",0,1,1,0,0,0,2,5,53,0,3,3,15
"Sophocles",12,0,0,0,2,1,0,0,0,57,0,0,15
"Thucydides",0,2,12,0,0,0,4,2,10,0,17,5,35
"Xenophon",0,4,12,0,0,0,11,1,7,0,7,19,42
"-SUM-",18,13,44,5,19,16,22,13,71,11,27,27,286
"Aeschylus",44,0,1,1,0,0,0,0,0,14,0,0,16
"Diodorus",0,28,6,0,0,0,0,2,20,0,3,2,33
"Herodotus",1,1,41,0,0,0,3,0,1,0,6,3,15
"Hesiod",4,0,0,41,10,6,0,0,0,1,0,0,21
"HomerIl",0,0,0,0,59,1,0,0,0,0,0,0,1
"HomerOd",0,0,0,1,6,60,0,0,0,0,0,0,7
"Lysias",0,0,11,0,0,0,35,0,7,0,5,8,31
"Plutarch",0,6,4,0,0,0,2,33,18,0,6,3,39
"Polybius",0,6,1,0,0,0,1,4,58,0,0,1,13
"Sophocles",6,0,0,1,2,0,0,0,1,48,0,0,10
"Thucydides",0,1,13,0,0,0,2,2,10,0,33,6,34
"Xenophon",0,3,6,0,0,0,6,3,9,0,13,25,40
"-SUM-",11,17,42,3,18,7,14,11,66,15,33,23,260
"Aeschylus",51,0,0,1,2,0,0,0,0,8,0,0,11
"Diodorus",0,41,8,0,0,0,0,1,26,0,0,1,36
"Herodotus",0,3,34,0,0,0,2,3,5,0,9,6,28
"Hesiod",5,0,0,42,6,11,0,0,0,1,0,0,23
"HomerIl",0,0,0,2,54,9,0,0,0,0,0,0,11
"HomerOd",0,0,0,0,14,60,0,0,0,0,0,0,14
"Lysias",0,0,7,0,0,0,31,1,7,0,2,7,24
"Plutarch",0,4,10,0,0,0,3,23,17,0,6,1,41
"Polybius",0,2,0,0,0,0,1,1,44,0,0,2,6
"Sophocles",8,0,0,0,1,0,0,0,0,49,0,0,9
"Thucydides",0,3,8,0,0,0,7,5,16,0,26,5,44
"Xenophon",0,5,9,0,0,0,10,4,5,0,2,28,35
"-SUM-",13,17,42,3,23,20,23,15,76,9,19,22,282
"Aeschylus",50,0,0,3,1,2,0,0,0,11,0,0,17
"Diodorus",0,32,5,0,0,0,0,0,19,0,2,0,26
"Herodotus",0,3,32,0,0,0,4,5,3,0,9,4,28
"Hesiod",4,0,0,45,9,6,0,0,0,1,0,1,21
"HomerIl",0,0,0,3,63,7,0,0,0,0,0,0,10
"HomerOd",0,0,0,0,11,63,0,0,0,0,0,0,11
"Lysias",0,2,10,0,0,0,38,2,4,0,6,15,39
"Plutarch",0,6,3,0,0,0,2,23,9,0,4,3,27
"Polybius",0,7,1,0,0,0,1,6,56,0,1,2,18
"Sophocles",7,0,2,2,0,1,0,0,0,45,0,0,12
"Thucydides",0,0,13,0,0,0,4,5,6,0,33,2,30
"Xenophon",0,2,10,0,0,0,6,5,10,0,1,12,34
"-SUM-",11,20,44,8,21,16,17,23,51,12,23,27,273
"Aeschylus",57,0,0,1,1,2,0,0,0,15,0,0,19
"Diodorus",0,37,5,0,0,0,0,2,19,0,2,0,28
"Herodotus",0,0,43,0,0,0,5,3,4,0,2,6,20
"Hesiod",4,0,0,30,8,13,0,0,0,0,0,0,25
"HomerIl",0,0,0,1,58,7,0,0,0,1,0,0,9
"HomerOd",0,0,0,0,12,58,0,0,0,0,0,0,12
"Lysias",0,0,10,0,0,0,38,1,5,0,5,4,25
"Plutarch",0,3,2,0,0,0,2,30,8,0,6,2,23
"Polybius",0,2,2,0,0,0,0,4,53,0,1,1,10
"Sophocles",11,0,0,1,1,0,0,0,0,53,0,0,13
"Thucydides",0,2,8,0,0,0,7,4,11,0,26,5,37
"Xenophon",0,2,9,0,0,0,10,3,3,0,9,25,36
