"","Diodorus","Herodotus","Plutarch","Polybius","Thucydides","-SUM-"
"Thucydides",3,11,1,5,16,20
"-SUM-",10,15,5,28,7,65
"Diodorus",18,3,0,9,2,14
"Herodotus",4,27,2,2,3,11
"Plutarch",4,4,27,2,9,19
"Polybius",1,0,1,22,0,2
"Thucydides",1,7,6,3,13,17
"-SUM-",10,14,9,16,14,63
"Diodorus",21,2,0,8,0,10
"Herodotus",4,30,2,1,2,9
"Plutarch",2,5,20,4,7,18
"Polybius",1,2,1,27,1,5
"Thucydides",4,5,3,4,14,16
"-SUM-",11,14,6,17,10,58
"Diodorus",29,0,1,5,2,8
"Herodotus",1,23,3,0,3,7
"Plutarch",1,2,27,2,3,8
"Polybius",5,0,1,23,2,8
"Thucydides",1,9,5,2,20,17
"-SUM-",8,11,10,9,10,48
"Diodorus",21,2,1,8,2,13
"Herodotus",0,26,2,3,1,6
"Plutarch",0,3,23,6,2,11
"Polybius",3,0,0,32,0,3
"Thucydides",2,11,2,3,17,18
"-SUM-",5,16,5,20,5,51
"Diodorus",25,5,0,11,1,17
"Herodotus",1,30,1,0,3,5
"Plutarch",1,4,23,7,3,15
"Polybius",3,0,3,24,0,6
"Thucydides",1,6,2,1,15,10
"-SUM-",6,15,6,19,7,53
"Diodorus",28,0,3,11,0,14
"Herodotus",2,18,3,2,4,11
"Plutarch",1,2,25,7,4,14
"Polybius",3,1,1,30,0,5
"Thucydides",0,7,3,3,12,13
"-SUM-",6,10,10,23,8,57
"Diodorus",17,2,0,12,1,15
"Herodotus",0,31,2,1,4,7
"Plutarch",3,2,21,5,4,14
"Polybius",4,0,2,25,1,7
"Thucydides",1,6,7,2,17,16
"-SUM-",8,10,11,20,10,59
"Diodorus",23,2,0,8,0,10
"Herodotus",2,21,1,3,5,11
"Plutarch",3,5,16,5,6,19
"Polybius",6,2,3,29,1,12
"Thucydides",3,4,2,2,18,11
"-SUM-",14,13,6,18,12,63
"Diodorus",26,1,0,8,1,10
"Herodotus",2,30,3,3,3,11
"Plutarch",0,6,19,5,1,12
"Polybius",3,0,0,22,2,5
"Thucydides",1,5,3,3,23,12
"-SUM-",6,12,6,19,7,50
"Diodorus",27,1,0,8,1,10
"Herodotus",2,25,1,2,6,11
"Plutarch",0,3,19,7,7,17
"Polybius",3,2,2,24,1,8
"Thucydides",3,6,5,1,14,15
"-SUM-",8,12,8,18,15,61
