"","Aesch_Ag","Aesch_Ch","Aesch_Eum","Aesch_Pers","Aesch_Prom","Aesch_Sept","Aesch_Sup","Athen_12-13","DiodSic_11","Hdt_1","Hesiod_Op","Hesiod_Sh","Hesiod_Th","Iliad_1-4","Iliad_13-16","Iliad_17-20","Iliad_21-24","Iliad_5-8","Iliad_9-12","Lysias_Sels","Od_1-4","Od_13-16","Od_17-20","Od_21-24","Od_5-8","Od_9-12","Plb_1","Plb_9&10","Plut_Alc","Plut_Lyc","Soph_Aj","Soph_Ant","Soph_El","Soph_OT","Soph_Trach","Thuc_1"
"Iliad_13-16",67.8419658397464,69.4529034044687,68.7004768661512,71.7139391621153,68.4597873200631,69.3201462737392,72.778388938968,59.4914616654571,73.0141111541105,58.7354963515789,69.2383033796308,72.1861989227646,67.8220246818127,48.7002695414013,0,43.8476839048184,38.9971765815396,43.6471196789816,43.8306262846702,68.1212385516719,50.0782711719424,47.0892560513476,48.2068276749012,49.1491175229269,49.7069503410329,50.1931896991507,67.4691786997764,68.7080090112657,70.5602505869836,72.8401805502624,62.662686817678,66.4927948343985,66.7748530041427,64.3555305306817,68.719067237198,61.0578657386075
"Iliad_17-20",68.5541943663174,71.6298671718481,72.823544174204,74.5413866985582,70.6888595143531,72.789345431236,73.6015501204404,61.9506736700871,76.7198066669274,62.2781927487048,71.7568698177177,72.301998111164,70.0772251561141,51.0181502463246,43.8476839048184,0,44.1409594738433,48.2269794570716,48.0431574153588,69.9975240230595,53.4769571894984,52.4859106463264,50.8566040944433,54.010586292203,50.4297678081332,54.3236413456907,71.2585014685398,71.0539224295249,73.5109587171127,75.0079320669662,65.2051145889538,67.9074510915198,67.4405616590902,64.0135148125586,71.2151460291128,64.5693649361514
"Iliad_21-24",66.8541941230009,69.6276878313966,70.9660998964798,71.8793598824112,68.6375334396462,70.0850717064229,72.7887726181943,60.7166008085937,73.7845868794664,59.4267235469224,68.0957911049508,71.3464688186165,67.5137069160508,49.2135571465638,38.9971765815396,44.1409594738433,0,45.105819359353,45.6704836119715,67.8760621311838,50.1140540819049,47.8067080083818,47.1997605009697,48.8928562648605,49.6470776033782,49.7815421439935,68.6670069666249,68.9295866333407,70.7433721224801,73.9176663571137,63.0115667024644,65.1408843391253,65.8354100137486,63.2846153553054,68.4741240309467,61.1619255695527
"Iliad_5-8",68.9346026275155,72.1123890473676,72.4417462376407,74.3465574007476,70.8503158250428,71.527228408634,73.6776140180581,62.0340528855824,75.3782643770378,60.3944596763907,71.9536172954987,74.1901587711404,70.2634876277135,49.4845533613472,43.6471196789816,48.2269794570716,45.105819359353,0,44.4044868999926,69.4327310251273,49.4482292833003,46.2067168308497,47.730578044174,49.5958725349258,49.1357496399238,48.5689509808161,70.6633209881674,70.6340785606987,72.8740967493125,74.8627124614689,66.1605815707711,67.0668651907893,68.1271860909012,65.2247532635882,70.4806185437966,63.3597448295201
"Iliad_9-12",69.7622443219632,71.8780510291937,72.0354672358838,74.308119443555,70.0458630071653,71.7321014385597,73.8621467046842,62.3347303843997,76.3241454636254,62.2671259804186,71.5733518219757,75.0541267431189,69.9123652435716,49.6820433965979,43.8306262846702,48.0431574153588,45.6704836119715,44.4044868999926,0,69.6269420877831,51.4109843879685,48.4138854408544,48.9063097702059,49.9387845604179,50.5784356021247,50.8633337886824,71.090804909083,71.8679977159716,73.5218883645089,75.898459100522,64.7820413484518,66.198280469083,67.5183006083256,64.9632526664861,70.8269524232612,64.213697221353
"Lysias_Sels",76.798706309875,79.2832466243872,80.4163179376495,83.9422039705926,79.2949468292302,82.0973536651454,83.1855174089185,60.2213537479534,72.4400467599929,59.5726685106582,83.3018879686706,89.3118296000538,83.6692058091543,71.1206530583916,68.1212385516719,69.9975240230595,67.8760621311838,69.4327310251273,69.6269420877831,0,67.2565047101282,67.9961160288122,66.5887554247443,69.9269194052251,70.5643909798783,70.7721250000642,65.8108849721326,63.0068330043605,68.1043690246914,67.2673884114267,72.1181519841817,72.7986844140329,73.8930309821049,70.3267441568576,77.3384415422637,59.3204033707263
"Od_1-4",68.3604404158392,71.6148454746108,73.4608900508278,72.2584412653932,69.4678974558169,71.0804656053542,73.6644796036856,60.3814882919518,76.5280721726453,59.94301699107,71.4515967511082,76.0212493276728,69.764474885766,53.6665191183861,50.0782711719424,53.4769571894984,50.1140540819049,49.4482292833003,51.4109843879685,67.2565047101282,0,44.0674761874024,46.4929543946256,48.059236091478,50.0377027233999,46.4719356494709,70.5454142774126,70.9779211678301,72.1125790765906,73.7979521860766,65.518171789237,66.9863130742013,66.9528952142298,64.6411648269566,69.0314992359223,62.9771626979842
"Od_13-16",68.9155423036304,69.9674483572306,71.9234150939491,71.9384475018442,69.7037505080173,69.9023069617462,73.9934666696718,61.3069799583297,74.8883503559293,60.0907232541915,70.4396847689061,76.3270656744078,69.6021039706754,50.8653312651421,47.0892560513476,52.4859106463264,47.8067080083818,46.2067168308497,48.4138854408544,67.9961160288122,44.0674761874024,0,43.8167406723089,43.9712132123932,46.4167226541828,44.6571041209642,69.1944853041326,69.1143243606338,71.6011026782369,73.575645309687,64.4541206554393,65.42022462885,66.7465150838058,64.013991121987,68.153049088636,62.7685282290096
"Od_17-20",66.4813040108716,69.7302168099732,71.1114843033673,71.5202433670821,68.3506865996762,70.8857908254439,72.4408786735917,59.2554300388242,75.7855806801316,59.9633307454963,67.4473014661871,75.4433941235575,69.8970837165607,51.610011868165,48.2068276749012,50.8566040944433,47.1997605009697,47.730578044174,48.9063097702059,66.5887554247443,46.4929543946256,43.8167406723089,0,45.4238324823974,48.0042689428819,48.4078313429454,69.8570383973925,69.8852916604572,71.0635474965914,73.6619658541814,62.8597986699653,63.5828780738936,64.3193706278808,62.1588541049385,66.2208460681949,61.9988032147751
"Od_21-24",70.0471703292224,72.7280121111012,73.0746906028802,73.2061606508022,70.6751333279086,71.2748753190947,74.4177172219409,62.9913154617478,77.1035125437523,61.5338351531423,71.8514289614355,77.5076174661191,70.6472024537034,53.5703820700048,49.1491175229269,54.010586292203,48.8928562648605,49.5958725349258,49.9387845604179,69.9269194052251,48.059236091478,43.9712132123932,45.4238324823974,0,50.1297763674302,48.2337993731615,70.953801188944,71.1445818849186,73.4494388326253,75.7638874946959,65.8325089973941,67.334332701777,67.4849528510894,65.6376466060346,69.3429059368728,64.3608652956901
