"","Aesch_Ag","Aesch_Ch","Aesch_Eum","Aesch_Pers","Aesch_Prom","Aesch_Sept","Aesch_Sup","Athen_12-13","DiodSic_11","Hdt_1","Hesiod_Op","Hesiod_Sh","Hesiod_Th","Iliad_1-4","Iliad_13-16","Iliad_17-20","Iliad_21-24","Iliad_5-8","Iliad_9-12","Lysias_Sels","Od_1-4","Od_13-16","Od_17-20","Od_21-24","Od_5-8","Od_9-12","Plb_1","Plb_9&10","Plut_Alc","Plut_Lyc","Soph_Aj","Soph_Ant","Soph_El","Soph_OT","Soph_Trach","Thuc_1"
"Hesiod_Op",5.07156530429292,3.82308207463411,4.04303232877644,2.92776138408503,3.44625246544741,3.34074262560122,4.81651105957801,3.84098769436592,5.69927054267834,4.30525239873345,0,3.2571318122437,3.57741797871762,3.71916521614321,4.32286098126991,3.77168929494471,4.80965675123193,4.21748727137275,3.84915819248542,4.87986737742187,3.6006288697316,3.84727740884661,3.39415661037017,3.92459055606858,3.81348983382556,4.52052664732609,5.69548169434082,5.70394621343593,5.64896874358015,4.94620466724964,3.77071888056452,3.17629917304067,4.33518690040722,3.88679421995136,3.56919729221735,5.62507878504776
"Hesiod_Sh",5.36318792697655,4.43626843388321,4.34573574590291,3.54915720425786,4.28765770163552,3.93364174623353,5.47938084233739,4.2161567817968,5.6790442399474,4.49349376950285,3.2571318122437,0,3.38998567276438,3.16889861318397,3.55675470260046,2.94450335057623,4.14461979412536,3.56427915890984,3.40835410726163,5.51909146344153,3.62181387783486,3.62255622299212,3.42850358244877,3.59918016043156,3.48809966372526,4.02188288430432,5.90412464870454,6.02497597522477,6.01984809844467,5.41820454243947,4.76056958723606,4.37265867589001,5.60358923952954,5.0657605492963,4.72417992294005,5.86095761717175
"Hesiod_Th",5.2963818915035,5.26889423338242,4.4221557466349,3.90243131443402,4.96197905855744,4.6311445385691,6.1066252502347,3.60355274670902,4.73510753911161,3.70594408778676,3.57741797871762,3.38998567276438,0,4.21824749158895,4.71228732289666,4.36748845126763,5.32787958422434,4.66557821895316,4.30121268164759,4.33604126421571,4.13688060407725,4.52547350752427,4.47961612506031,4.45707950318221,4.27401305200453,4.75094331112255,4.5016881626961,4.55428468609896,4.75035084131842,4.05736141620536,5.27037968202462,4.52322024045546,5.92437112829183,5.38711068599865,4.7736939535729,4.70837924514939
"Iliad_1-4",6.30209636496226,5.35286033691411,4.79235096614139,4.200494012814,4.33820335866979,4.54667430654139,6.62597796040112,4.67285373942892,5.23609504697458,3.85472746206981,3.71916521614321,3.16889861318397,4.21824749158895,0,1.52865560614428,1.42522615209312,2.05647156757911,1.35992937264191,1.22684740344411,5.15625461112067,1.78970731920314,1.68046684885032,2.07306355057604,1.66485718520604,1.47006850984102,1.94348652679541,5.95595676712732,5.87533063118486,5.49935487418671,5.47379116282665,5.15677228609321,4.47042896764111,5.80828493366533,5.21820040497262,4.66829988006846,4.96607805054061
"Iliad_13-16",6.93394695318702,6.08379452849322,5.37012281953213,4.85209084881097,5.01892085826771,5.14973936015139,7.3735074794066,5.33604340673991,5.29078437559609,4.20493586488363,4.32286098126991,3.55675470260046,4.71228732289666,1.52865560614428,0,1.28514484734974,1.21167551323162,1.11434220526667,1.35641101669254,5.80012372044815,2.29718677135251,2.07877897996653,2.61225546845773,1.83456720237447,1.67067323943916,1.8152732057609,6.31673336930913,6.29855556837505,5.79677740907642,6.01951762431881,5.89338146995234,5.22011001223161,6.59980081607716,6.03026288566124,5.45486547390123,5.18900149540837
"Iliad_17-20",6.40359556753215,5.45223741307188,4.95925955135093,4.43009849637817,4.59074077111683,4.73854217993841,6.71773440843597,4.97286515139697,5.50122724876536,4.24202845305223,3.77168929494471,2.94450335057623,4.36748845126763,1.42522615209312,1.28514484734974,0,1.82342814313783,1.45683980386237,1.46964880085414,5.56862373945866,2.21120130453667,1.89941192618942,2.17763750906644,1.79394622637402,1.6539969057414,2.10721619893371,6.26082916283377,6.25083781769522,5.90829781040056,5.8467650342413,5.38019661206773,4.82449780467753,6.0955184642423,5.52176355734819,5.05896711533593,5.4071651932317
"Iliad_21-24",7.51158057702637,6.5107767869199,5.88413102284033,5.31388887994182,5.352077873861,5.52905214641737,7.82992833253704,6.05150973304649,5.85765636052761,4.81412908202404,4.80965675123193,4.14461979412536,5.32787958422434,2.05647156757911,1.21167551323162,1.82342814313783,0,1.49978865217148,1.88445478214316,6.42499175581908,2.63046724171366,2.42887306524102,2.95755955635978,2.18247444444844,2.01198306014778,1.98732505012361,6.97181108882927,6.94458177804251,6.34004970903371,6.6940440633839,6.31699834600048,5.65343565059992,7.00366198989358,6.46207085423255,5.88523136299405,5.69894689025395
"Iliad_5-8",6.8396936949455,5.9429580540332,5.28592109560304,4.76695518699196,4.85789294300851,5.02508274507677,7.19601764397045,5.2727967084725,5.41736460256503,4.22419336925423,4.21748727137275,3.56427915890984,4.66557821895316,1.35992937264191,1.11434220526667,1.45683980386237,1.49978865217148,0,1.29093122315599,5.75003285733974,2.03409151537621,1.91751218705842,2.45368303942636,1.77007277684823,1.53271210546686,1.75472388933659,6.37384911928005,6.33296327133036,5.85192492897181,6.02611375376427,5.7732947785071,5.11112305929893,6.46547169889737,5.91073280480495,5.32828993955757,5.24199858971137
"Iliad_9-12",6.53176819910616,5.7072775481075,4.97406018082894,4.47017580582526,4.60283129112489,4.84921748125434,6.97515384954552,4.85904160733112,5.02064296054984,3.80172113899932,3.84915819248542,3.40835410726163,4.30121268164759,1.22684740344411,1.35641101669254,1.46964880085414,1.88445478214316,1.29093122315599,0,5.13840746373895,1.80704488957716,1.78293793489041,2.37358330923447,1.65559143921663,1.28082496185711,1.69077033861715,5.87436227290644,5.77407262059439,5.35249351630581,5.46464243525081,5.48862339970126,4.69341732150333,6.09051548110531,5.50401889293563,4.91612798504537,4.78064965915925
"Lysias_Sels",5.61997393896416,6.27278723760747,4.92221990523807,5.2720898625124,5.75751409205646,5.98294648892182,7.09620450025454,3.24920961495913,3.83170253492197,2.77347030450363,4.87986737742187,5.51909146344153,4.33604126421571,5.15625461112067,5.80012372044815,5.56862373945866,6.42499175581908,5.75003285733974,5.13840746373895,0,4.88175414411253,5.37006689375684,5.43321790035246,5.39167901712498,5.1769143821479,5.56688763813131,3.05408931752907,2.43326601703472,2.97730569528356,2.05458922678141,5.77825498285739,4.77787576359467,6.07498895564257,5.4843424029256,4.80640000544781,3.10142163555213
