"","Diodorus","Herodotus","Lysias","Plutarch","Polybius","Thucydides","-SUM-"
"Lysias",0,4,16,0,3,1,8
"Plutarch",1,4,1,14,5,1,12
"Polybius",1,0,0,1,16,2,4
"Thucydides",0,0,1,1,3,17,5
"-SUM-",3,10,2,2,18,7,42
"Diodorus",13,3,0,0,5,0,8
"Herodotus",0,14,0,1,2,4,7
"Lysias",1,2,19,0,2,0,5
"Plutarch",1,4,0,12,2,2,9
"Polybius",0,0,0,2,21,1,3
"Thucydides",1,0,1,2,3,15,7
"-SUM-",3,9,1,5,14,7,39
"Diodorus",17,1,0,0,2,0,3
"Herodotus",3,19,1,1,0,7,12
"Lysias",0,4,16,1,0,1,6
"Plutarch",1,1,1,12,5,1,9
"Polybius",0,1,0,0,17,0,1
"Thucydides",0,1,1,2,1,16,5
"-SUM-",4,8,3,4,8,9,36
"Diodorus",14,4,0,1,1,0,6
"Herodotus",2,17,0,0,0,2,4
"Lysias",0,2,23,2,1,1,6
"Plutarch",1,3,0,7,10,2,16
"Polybius",0,1,0,1,15,0,2
"Thucydides",1,6,1,1,2,12,11
"-SUM-",4,16,1,5,14,5,45
"Diodorus",13,0,0,0,5,0,5
"Herodotus",1,26,2,1,2,2,8
"Lysias",0,3,15,1,1,1,6
"Plutarch",3,2,0,10,4,2,11
"Polybius",2,1,0,0,20,2,5
"Thucydides",0,2,1,1,0,10,4
"-SUM-",6,8,3,3,12,7,39
"Diodorus",15,1,0,0,7,0,8
"Herodotus",0,15,0,1,0,1,2
"Lysias",0,2,19,0,0,0,2
"Plutarch",1,1,0,13,6,1,9
"Polybius",1,0,1,1,21,0,3
"Thucydides",0,4,1,5,1,15,11
"-SUM-",2,8,2,7,14,2,35
"Diodorus",16,1,0,0,1,2,4
"Herodotus",1,20,1,1,2,3,8
"Lysias",0,1,21,1,0,3,5
"Plutarch",1,1,0,12,2,4,8
"Polybius",0,0,2,1,17,0,3
"Thucydides",0,1,0,2,2,14,5
"-SUM-",2,4,3,5,7,12,33
"Diodorus",17,2,0,1,2,0,5
"Herodotus",1,18,1,3,0,2,7
"Lysias",0,0,14,0,1,0,1
"Plutarch",0,4,0,12,7,4,15
"Polybius",0,0,0,0,17,0,0
"Thucydides",0,10,3,2,1,11,16
"-SUM-",1,16,4,6,11,6,44
"Diodorus",12,0,0,1,6,0,7
"Herodotus",4,22,0,0,1,1,6
"Lysias",1,1,17,0,0,1,3
"Plutarch",0,4,2,13,1,0,7
"Polybius",0,0,1,0,24,0,1
"Thucydides",1,0,2,3,0,15,6
"-SUM-",6,5,5,4,8,2,30
"Diodorus",14,0,0,1,4,0,5
"Herodotus",2,15,1,1,4,1,9
"Lysias",0,3,17,1,0,0,4
"Plutarch",1,2,1,19,3,0,7
"Polybius",0,0,0,2,21,0,2
"Thucydides",0,5,0,1,0,14,6
"-SUM-",3,10,2,6,11,1,33
"Diodorus",15,1,0,0,4,1,6
"Herodotus",1,15,0,1,1,2,5
"Lysias",0,4,13,1,0,0,5
"Plutarch",0,1,0,17,4,3,8
"Polybius",0,0,0,0,26,0,0
"Thucydides",0,2,0,4,4,13,10
"-SUM-",1,8,0,6,13,6,34
"Diodorus",18,1,0,0,2,0,3
"Herodotus",2,22,0,0,1,2,5
"Lysias",1,1,16,2,1,1,6
"Plutarch",1,0,0,11,4,2,7
"Polybius",0,0,1,0,17,0,1
"Thucydides",0,2,2,6,3,14,13
"-SUM-",4,4,3,8,11,5,35
"Diodorus",15,1,0,0,3,1,5
"Herodotus",1,17,0,1,1,2,5
"Lysias",0,2,14,0,4,2,8
"Plutarch",0,1,1,15,3,3,8
"Polybius",1,0,0,0,27,0,1
"Thucydides",1,2,0,1,3,11,7
"-SUM-",3,6,1,2,14,8,34
"Diodorus",20,3,0,2,4,0,9
"Herodotus",1,18,1,1,1,1,5
"Lysias",1,1,19,1,0,0,3
"Plutarch",0,1,0,11,5,0,6
"Polybius",2,1,0,1,13,0,4
