"","file","sent","index","words","dependency","relation","morph","depPerWord","relPerWord","morphPerWord","DepDist","topSentNum"
"149","Polybius 21.21-30",6,149,13,34,35,18,2.615384615,2.692307692,1.384615385,2.3333,6
"150","Polybius 21.21-30",7,150,25,88,112,74,3.52,4.48,2.96,3.64,7
"151","Polybius 21.21-30",8,151,8,22,30,20,2.75,3.75,2.5,2,8
"152","Polybius 21.21-30",9,152,7,28,32,17,4,4.571428571,2.428571429,3.5714,9
"153","Polybius 21.21-30",10,153,20,70,53,61,3.5,2.65,3.05,5.4,10
"154","Polybius 21.21-30",11,154,27,60,53,51,2.222222222,1.962962963,1.888888889,3.2308,11
"155","Polybius 21.21-30",12,155,7,9,21,13,1.285714286,3,1.857142857,1.8333,12
"156","Polybius 21.21-30",13,156,8,11,25,21,1.375,3.125,2.625,2.4286,13
"157","Polybius 21.21-30",14,157,19,37,56,43,1.947368421,2.947368421,2.263157895,2.2222,14
"158","Polybius 21.21-30",15,158,25,50,79,48,2,3.16,1.92,3.9167,15
"159","Polybius 21.21-30",16,159,25,52,69,47,2.08,2.76,1.88,4,16
"160","Polybius 21.21-30",17,160,28,111,93,63,3.964285714,3.321428571,2.25,3,17
"161","Polybius 21.21-30",18,161,36,118,122,70,3.277777778,3.388888889,1.944444444,4.7714,18
"162","Polybius 21.21-30",19,162,22,114,78,37,5.181818182,3.545454545,1.681818182,5.2727,19
"163","Polybius 21.21-30",20,163,29,75,89,99,2.586206897,3.068965517,3.413793103,2.75,20
"164","Polybius 21.21-30",21,164,24,59,76,45,2.458333333,3.166666667,1.875,4.6522,21
"165","Polybius 21.21-30",22,165,22,82,52,42,3.727272727,2.363636364,1.909090909,2.8095,22
"166","Polybius 21.21-30",23,166,13,25,44,23,1.923076923,3.384615385,1.769230769,4.3333,23
"167","Polybius 21.21-30",24,167,14,38,55,61,2.714285714,3.928571429,4.357142857,4.4286,24
"168","Polybius 21.21-30",25,168,38,251,167,69,6.605263158,4.394736842,1.815789474,5.0526,25
"169","Polybius 21.21-30",26,169,15,41,56,66,2.733333333,3.733333333,4.4,3.3571,26
"170","Polybius 21.21-30",27,170,18,29,61,35,1.611111111,3.388888889,1.944444444,2.7647,27
"171","Polybius 21.21-30",28,171,14,34,47,34,2.428571429,3.357142857,2.428571429,3.6923,28
"172","Polybius 21.21-30",29,172,17,39,46,38,2.294117647,2.705882353,2.235294118,2.1765,29
"173","Polybius 21.21-30",30,173,19,55,58,33,2.894736842,3.052631579,1.736842105,2.7778,30
"174","Polybius 21.21-30",31,174,14,51,42,42,3.642857143,3,3,2.5385,31
"175","Polybius 21.21-30",32,175,17,97,81,43,5.705882353,4.764705882,2.529411765,7.2632,32
"176","Polybius 21.21-30",33,176,6,9,20,14,1.5,3.333333333,2.333333333,2.6,33
"177","Polybius 21.21-30",34,177,11,15,45,21,1.363636364,4.090909091,1.909090909,1.8,34
"178","Polybius 21.21-30",35,178,16,38,61,54,2.375,3.8125,3.375,3.4,35
"179","Polybius 21.21-30",36,179,10,33,29,32,3.3,2.9,3.2,2.1,36
"180","Polybius 21.21-30",37,180,3,11,17,2,3.666666667,5.666666667,0.666666667,2.3333,37
"181","Polybius 21.21-30",38,181,27,183,75,64,6.777777778,2.777777778,2.37037037,4.2692,38
"182","Polybius 21.21-30",39,182,9,26,22,18,2.888888889,2.444444444,2,3.5556,39
"183","Polybius 21.21-30",40,183,11,22,48,44,2,4.363636364,4,2.6,40
"184","Polybius 21.21-30",41,184,8,13,32,21,1.625,4,2.625,2.8571,41
"185","Polybius 21.21-30",42,185,54,178,158,99,3.296296296,2.925925926,1.833333333,4.9245,42
"186","Polybius 21.21-30",43,186,15,18,57,33,1.2,3.8,2.2,2.4286,43
"187","Polybius 21.21-30",44,187,11,19,32,29,1.727272727,2.909090909,2.636363636,2.3,44
"188","Polybius 21.21-30",45,188,36,100,78,73,2.777777778,2.166666667,2.027777778,2.4286,45
"189","Polybius 21.21-30",46,189,13,36,45,25,2.769230769,3.461538462,1.923076923,2.5833,46
"190","Polybius 21.21-30",47,190,11,20,32,21,1.818181818,2.909090909,1.909090909,2.8,47
"191","Polybius 21.21-30",48,191,15,46,46,33,3.066666667,3.066666667,2.2,2.5,48
"192","Polybius 21.21-30",49,192,77,372,253,190,4.831168831,3.285714286,2.467532468,4.2078,49
"193","Polybius 21.21-30",50,193,19,33,47,29,1.736842105,2.473684211,1.526315789,2.7222,50
"194","Polybius 21.21-30",51,194,16,24,46,49,1.5,2.875,3.0625,2.3333,51
"195","Polybius 21.21-30",52,195,11,20,34,16,1.818181818,3.090909091,1.454545455,2,52
"196","Polybius 21.21-30",53,196,8,40,32,13,5,4,1.625,2.75,53
"197","Polybius 21.21-30",54,197,9,20,30,15,2.222222222,3.333333333,1.666666667,1.5,54
"198","Polybius 21.21-30",55,198,15,34,35,32,2.266666667,2.333333333,2.133333333,2.1429,55
"199","Polybius 21.21-30",56,199,21,46,61,33,2.19047619,2.904761905,1.571428571,3,56
"200","Polybius 21.21-30",57,200,20,32,49,38,1.6,2.45,1.9,3.8947,57
"201","Polybius 21.21-30",58,201,32,67,84,65,2.09375,2.625,2.03125,2.7742,58
"202","Polybius 21.21-30",59,202,20,40,50,42,2,2.5,2.1,4.0526,59
"203","Polybius 21.21-30",60,203,29,79,72,41,2.724137931,2.482758621,1.413793103,3.2857,60
"204","Polybius 21.21-30",61,204,11,18,33,20,1.636363636,3,1.818181818,3.2,61
"205","Polybius 21.21-30",62,205,59,167,127,92,2.830508475,2.152542373,1.559322034,3.7895,62
"206","Polybius 21.21-30",63,206,21,41,56,57,1.952380952,2.666666667,2.714285714,3.95,63
"207","Polybius 21.21-30",64,207,11,17,29,22,1.545454545,2.636363636,2,3.1,64
"208","Polybius 21.21-30",65,208,10,17,33,18,1.7,3.3,1.8,2,65
"209","Polybius 21.21-30",66,209,9,13,27,16,1.444444444,3,1.777777778,1.625,66
"210","Polybius 21.21-30",67,210,14,30,40,22,2.142857143,2.857142857,1.571428571,2.7692,67
"211","Polybius 21.21-30",68,211,19,32,45,29,1.684210526,2.368421053,1.526315789,3.2778,68
"212","Polybius 21.21-30",69,212,33,104,83,77,3.151515152,2.515151515,2.333333333,2.9688,69
"213","Polybius 21.21-30",70,213,30,75,159,52,2.5,5.3,1.733333333,3.069,70
"214","Polybius 21.21-30",71,214,39,144,137,50,3.692307692,3.512820513,1.282051282,4.3684,71
"215","Polybius 21.21-30",72,215,33,103,77,75,3.121212121,2.333333333,2.272727273,2.5312,72
"216","Polybius 21.21-30",73,216,28,63,108,96,2.25,3.857142857,3.428571429,3.1786,73
"217","Polybius 21.21-30",74,217,18,32,37,29,1.777777778,2.055555556,1.611111111,3.5882,74
"218","Polybius 21.21-30",75,218,51,187,194,82,3.666666667,3.803921569,1.607843137,4.86,75
"219","Polybius 21.21-30",77,219,18,33,38,24,1.833333333,2.111111111,1.333333333,3.1176,77
"220","Polybius 21.21-30",78,220,18,37,58,29,2.055555556,3.222222222,1.611111111,2.8824,78
"221","Polybius 21.21-30",79,221,22,32,52,58,1.454545455,2.363636364,2.636363636,4.7619,79
"222","Polybius 21.21-30",80,222,15,25,55,42,1.666666667,3.666666667,2.8,2.0714,80
"223","Polybius 21.21-30",81,223,15,28,44,31,1.866666667,2.933333333,2.066666667,2.1429,81
"224","Polybius 21.21-30",82,224,24,70,56,40,2.916666667,2.333333333,1.666666667,3.1739,82
"225","Polybius 21.21-30",83,225,9,15,23,17,1.666666667,2.555555556,1.888888889,1.875,83
"226","Polybius 21.21-30",84,226,17,46,51,26,2.705882353,3,1.529411765,3,84
"227","Polybius 21.21-30",85,227,25,55,74,61,2.2,2.96,2.44,3.7391,85
"228","Polybius 21.21-30",86,228,32,100,87,51,3.125,2.71875,1.59375,5.3548,86
"229","Polybius 21.21-30",87,229,18,27,49,52,1.5,2.722222222,2.888888889,3,87
"230","Polybius 21.21-30",88,230,5,10,21,8,2,4.2,1.6,1.5,88
"231","Polybius 21.21-30",89,231,16,49,52,38,3.0625,3.25,2.375,2.8667,89
"232","Polybius 21.21-30",90,232,15,36,47,26,2.4,3.133333333,1.733333333,1.9286,90
"233","Polybius 21.21-30",91,233,10,26,33,30,2.6,3.3,3,3.5556,91
"234","Polybius 21.21-30",92,234,22,51,101,45,2.318181818,4.590909091,2.045454545,2.381,92
"235","Polybius 21.21-30",93,235,17,24,43,21,1.411764706,2.529411765,1.235294118,3.125,93
"236","Polybius 21.21-30",94,236,14,27,36,37,1.928571429,2.571428571,2.642857143,3.3846,94
"237","Polybius 21.21-30",95,237,26,45,51,37,1.730769231,1.961538462,1.423076923,3.68,95
